Start	End	ConsistencyIndex	Counts	MinimumNumberChangesOnTree
3727	3728	0.25	354:33	4
3943	3944	0.5	163:224	2
4015	4016	0.5	353:34	2
4063	4064	0.3333333333333333	315:72	3
4090	4091	0.5	371:16	2
4109	4110	0.5	353:34	2
4123	4124	0.5	380:7	2
4267	4268	0.5	353:34	2
4328	4329	0.5	372:15	2
4342	4343	0.5	372:15	2
4712	4713	0.2	302:85	5
4747	4748	0.5	353:34	2
4852	4853	0.16666666666666666	282:105	6
4956	4957	0.5	382:5	2
5107	5108	0.3333333333333333	245:142	3
5144	5145	0.5	382:5	2
5221	5222	0.3333333333333333	245:142	3
5269	5270	0.2	197:190	5
5377	5378	0.125	279:108	8
5404	5405	0.3333333333333333	376:11	3
5467	5468	0.2	193:194	5
5509	5510	0.5	353:34	2
5722	5723	0.3333333333333333	347:40	3
5740	5741	0.5	382:5	2
5755	5756	0.25	322:65	4
5809	5810	0.5	372:15	2
5833	5834	0.5	382:5	2
5836	5837	0.5	360:27	2
5869	5870	0.5	344:43	2
5914	5915	0.3333333333333333	193:194	3
6250	6251	0.3333333333333333	366:21	3
6319	6320	0.3333333333333333	366:21	3
6388	6389	0.2	315:72	5
6583	6584	0.5	353:34	2
6737	6738	0.5	382:5	2
6738	6739	0.125	183:204	8
6745	6746	0.5	160:227	2
6817	6818	0.5	353:34	2
6865	6866	0.3333333333333333	194:193	3
6988	6989	0.16666666666666666	310:77	6
7000	7001	0.5	349:38	2
7003	7004	0.5	353:34	2
7012	7013	0.2	312:75	5
7030	7031	0.5	353:34	2
7054	7055	0.5	353:34	2
7060	7061	0.5	160:227	2
7069	7070	0.5	353:34	2
7078	7079	0.5	353:34	2
7090	7091	0.2	228:159	5
7111	7112	0.5	375:12	2
7114	7115	0.5	353:34	2
7120	7121	0.3333333333333333	177:210	3
7144	7145	0.3333333333333333	362:25	3
7168	7169	0.5	353:34	2
7174	7175	0.5	353:34	2
7183	7184	0.5	165:222	2
7219	7220	0.5	353:34	2
7228	7229	0.5	353:34	2
7246	7247	0.5	353:34	2
7297	7298	0.5	353:34	2
7324	7325	0.5	365:22	2
7327	7328	0.25	182:205	4
7354	7355	0.3333333333333333	163:224	3
7387	7388	0.5	353:34	2
7423	7424	0.5	160:227	2
7462	7463	0.2	353:34	5
7498	7499	0.5	160:227	2
7522	7523	0.5	160:227	2
7543	7544	0.3333333333333333	165:222	3
7594	7595	0.2	312:75	5
7636	7637	0.25	167:220	4
7645	7646	0.5	160:227	2
7684	7685	0.3333333333333333	350:37	3
7687	7688	0.2	197:190	5
7693	7694	0.5	160:227	2
7705	7706	0.5	160:227	2
7717	7718	0.3333333333333333	166:221	3
7856	7857	0.3333333333333333	344:43	3
7858	7859	0.14285714285714285	327:60	7
7870	7871	0.5	353:34	2
7879	7880	0.25	343:44	4
7888	7889	0.2	310:77	5
7900	7901	0.5	353:34	2
7906	7907	0.3333333333333333	344:43	3
7916	7917	0.3333333333333333	344:43	3
7924	7925	0.3333333333333333	161:226	3
7936	7937	0.2	353:34	5
7945	7946	0.125	273:114	8
7951	7952	0.2	308:79	5
7972	7973	0.14285714285714285	274:113	7
7978	7979	0.14285714285714285	259:128	7
7984	7985	0.1111111111111111	288:99	9
8008	8009	0.14285714285714285	246:141	7
8017	8018	0.125	247:140	8
8035	8036	0.5	160:227	2
8065	8066	0.5	353:34	2
8083	8084	0.5	353:34	2
8104	8105	0.25	320:67	4
8110	8111	0.5	353:34	2
8119	8120	0.5	353:34	2
8134	8135	0.5	353:34	2
8140	8141	0.5	353:34	2
8155	8156	0.5	353:34	2
8188	8189	0.5	353:34	2
8197	8198	0.2	184:203	5
8206	8207	0.3333333333333333	358:29	3
8227	8228	0.5	353:34	2
8268	8269	0.5	379:8	2
8279	8280	0.25	194:193	4
8323	8324	0.25	194:193	4
8341	8342	0.5	353:34	2
8380	8381	0.5	353:34	2
8392	8393	0.5	353:34	2
8422	8423	0.5	353:34	2
8434	8435	0.5	353:34	2
8452	8453	0.25	349:38	4
8464	8465	0.5	353:34	2
8479	8480	0.5	353:34	2
8489	8490	0.5	353:34	2
8524	8525	0.5	353:34	2
8539	8540	0.5	353:34	2
8551	8552	0.3333333333333333	339:48	3
8605	8606	0.5	374:13	2
8686	8687	0.3333333333333333	338:49	3
8884	8885	0.16666666666666666	230:157	6
8923	8924	0.25	207:180	4
8932	8933	0.3333333333333333	168:219	3
8937	8938	0.5	372:15	2
8947	8948	0.5	353:34	2
8950	8951	0.3333333333333333	211:176	3
8956	8957	0.07692307692307693	221:166	13
8988	8989	0.5	353:34	2
9034	9035	0.5	353:34	2
9040	9041	0.5	353:34	2
9046	9047	0.3333333333333333	339:48	3
9054	9055	0.3333333333333333	163:224	3
9100	9101	0.25	194:193	4
9115	9116	0.25	194:193	4
9127	9128	0.5	369:18	2
9129	9130	0.2	377:10	5
9130	9131	0.14285714285714285	316:71	7
9149	9150	0.14285714285714285	323:64	7
9179	9180	0.25	339:48	4
9180	9181	0.16666666666666666	221:166	6
9192	9193	0.16666666666666666	337:50	6
9210	9211	0.16666666666666666	196:191	6
9216	9217	0.2	359:28	5
9229	9230	0.5	381:6	2
9236	9237	0.3333333333333333	345:42	3
9260	9261	0.25	374:13	4
9293	9294	0.25	304:83	4
9317	9318	0.125	241:146	8
9386	9387	0.16666666666666666	206:181	6
9392	9393	0.2	337:50	5
9404	9405	0.5	380:7	2
9407	9408	0.5	365:22	2
9413	9414	0.3333333333333333	374:13	3
9419	9420	0.3333333333333333	374:13	3
9434	9435	0.3333333333333333	374:13	3
9440	9441	0.5	380:7	2
9446	9447	0.3333333333333333	329:58	3
9452	9453	0.3333333333333333	374:13	3
9458	9459	0.25	334:53	4
9494	9495	0.5	369:18	2
9497	9498	0.2	180:207	5
9506	9507	0.3333333333333333	374:13	3
9515	9516	0.25	358:29	4
9521	9522	0.125	262:125	8
9533	9534	0.3333333333333333	374:13	3
9551	9552	0.3333333333333333	374:13	3
9557	9558	0.3333333333333333	374:13	3
9572	9573	0.25	363:24	4
9581	9582	0.3333333333333333	374:13	3
9587	9588	0.3333333333333333	374:13	3
9590	9591	0.2	283:104	5
9596	9597	0.25	371:16	4
9605	9606	0.125	261:126	8
9611	9612	0.5	382:5	2
9614	9615	0.25	371:16	4
9617	9618	0.1111111111111111	277:110	9
9623	9624	0.1	278:109	10
9629	9630	0.25	371:16	4
9641	9642	0.3333333333333333	165:222	3
9649	9650	0.25	171:216	4
9659	9660	0.14285714285714285	324:63	7
9665	9666	0.25	171:216	4
9737	9738	0.5	378:9	2
9752	9753	0.3333333333333333	347:40	3
9772	9773	0.3333333333333333	350:37	3
9827	9828	0.5	378:9	2
9836	9837	0.5	378:9	2
9845	9846	0.5	378:9	2
9860	9861	0.5	378:9	2
9944	9945	0.5	353:34	2
10082	10083	0.3333333333333333	350:37	3
10110	10111	0.3333333333333333	354:33	3
10237	10238	0.3333333333333333	367:20	3
10292	10293	0.3333333333333333	350:37	3
10397	10398	0.5	350:37	2
10413	10414	0.5	160:227	2
10493	10494	0.3333333333333333	166:221	3
10505	10506	0.5	379:8	2
10520	10521	0.3333333333333333	350:37	3
10526	10527	0.3333333333333333	350:37	3
10532	10533	0.25	344:43	4
10538	10539	0.2	254:133	5
10547	10548	0.3333333333333333	350:37	3
10568	10569	0.3333333333333333	350:37	3
10580	10581	0.5	353:34	2
10589	10590	0.3333333333333333	350:37	3
10592	10593	0.2	197:190	5
10602	10603	0.3333333333333333	161:226	3
10625	10626	0.5	379:8	2
10631	10632	0.3333333333333333	367:20	3
10632	10633	0.3333333333333333	350:37	3
10662	10663	0.3333333333333333	350:37	3
10674	10675	0.3333333333333333	350:37	3
10685	10686	0.3333333333333333	350:37	3
10703	10704	0.3333333333333333	350:37	3
10715	10716	0.3333333333333333	350:37	3
10724	10725	0.5	383:4	2
10745	10746	0.5	383:4	2
10757	10758	0.5	383:4	2
10769	10770	0.5	383:4	2
10775	10776	0.5	352:35	2
10777	10778	0.5	382:5	2
10781	10782	0.3333333333333333	342:45	3
10787	10788	0.2	349:38	5
10814	10815	0.25	369:18	4
10826	10827	0.125	283:104	8
10859	10860	0.5	351:36	2
10871	10872	0.2	201:186	5
10879	10880	0.5	351:36	2
10888	10889	0.5	351:36	2
10900	10901	0.5	351:36	2
10940	10941	0.5	349:38	2
11004	11005	0.5	365:22	2
11082	11083	0.5	365:22	2
11097	11098	0.5	349:38	2
11099	11100	0.3333333333333333	349:38	3
11163	11164	0.16666666666666666	312:75	6
11171	11172	0.3333333333333333	347:40	3
11210	11211	0.3333333333333333	163:224	3
11237	11238	0.5	370:17	2
11276	11277	0.5	351:36	2
11332	11333	0.25	164:223	4
11348	11349	0.5	160:227	2
11372	11373	0.5	383:4	2
11439	11440	0.3333333333333333	352:35	3
11624	11625	0.3333333333333333	378:9	3
11688	11689	0.14285714285714285	272:115	7
11729	11730	0.16666666666666666	275:112	6
11738	11739	0.14285714285714285	263:124	7
11744	11745	0.16666666666666666	295:92	6
11765	11766	0.125	257:130	8
11774	11775	0.125	257:130	8
11805	11806	0.5	160:227	2
11810	11811	0.2	337:50	5
11861	11862	0.5	379:8	2
11870	11871	0.3333333333333333	367:20	3
11885	11886	0.5	382:5	2
11899	11900	0.3333333333333333	162:225	3
11952	11953	0.25	333:54	4
12060	12061	0.25	215:172	4
12205	12206	0.5	353:34	2
12218	12219	0.5	160:227	2
12328	12329	0.3333333333333333	167:220	3
12433	12434	0.3333333333333333	368:19	3
12549	12550	0.5	160:227	2
12560	12561	0.5	382:5	2
12610	12611	0.5	379:8	2
12676	12677	0.14285714285714285	297:90	7
12865	12866	0.5	160:227	2
12985	12986	0.3333333333333333	211:176	3
13180	13181	0.3333333333333333	346:41	3
13193	13194	0.3333333333333333	166:221	3
13216	13217	0.25	356:31	4
13261	13262	0.5	383:4	2
13274	13275	0.5	349:38	2
13324	13325	0.3333333333333333	348:39	3
13555	13556	0.3333333333333333	163:224	3
13584	13585	0.5	349:38	2
13606	13607	0.5	379:8	2
13607	13608	0.2	169:218	5
13641	13642	0.5	379:8	2
13684	13685	0.5	380:7	2
13722	13723	0.16666666666666666	224:163	6
13733	13734	0.5	352:35	2
13762	13763	0.5	358:29	2
13779	13780	0.25	354:33	4
13791	13792	0.5	372:15	2
13803	13804	0.125	304:83	8
13807	13808	0.5	369:18	2
13812	13813	0.3333333333333333	343:44	3
13818	13819	0.16666666666666666	354:33	6
13822	13823	0.16666666666666666	200:187	6
13828	13829	0.2	351:36	5
13833	13834	0.14285714285714285	307:80	7
13841	13842	0.16666666666666666	311:76	6
13854	13855	0.14285714285714285	347:40	7
13868	13869	0.1	330:57	10
13878	13879	0.0625	216:171	16
13884	13885	0.2	378:9	5
13886	13887	0.125	359:28	8
13927	13928	0.5	385:2	2
13931	13932	0.25	376:11	4
13941	13942	0.14285714285714285	357:30	7
13953	13954	0.0625	321:66	16
13964	13965	0.14285714285714285	357:30	7
13968	13969	0.058823529411764705	345:42	17
13976	13977	0.2	352:35	5
13985	13986	0.05555555555555555	346:41	18
13986	13987	0.05555555555555555	226:161	18
14000	14001	0.2	377:10	5
14009	14010	0.09090909090909091	170:217	11
14019	14020	0.3333333333333333	351:36	3
14020	14021	0.2	342:45	5
14023	14024	0.5	370:17	2
14028	14029	0.5	371:16	2
14031	14032	0.3333333333333333	350:37	3
14033	14034	0.09090909090909091	340:47	11
14038	14039	0.07142857142857142	212:175	14
14046	14047	0.058823529411764705	206:181	17
14057	14058	0.2	343:44	5
14058	14059	0.05555555555555555	240:147	18
14063	14064	0.14285714285714285	307:80	7
14066	14067	0.3333333333333333	382:5	3
14069	14070	0.16666666666666666	329:58	6
14070	14071	0.1	342:45	10
14072	14073	0.16666666666666666	334:53	6
14083	14084	0.3333333333333333	380:7	3
14084	14085	0.09090909090909091	312:75	11
14086	14087	0.5	382:5	2
14095	14096	0.07692307692307693	205:182	13
14096	14097	0.5	368:19	2
14097	14098	0.5	375:12	2
14098	14099	0.07692307692307693	335:52	13
14101	14102	0.5	385:2	2
14105	14106	0.08333333333333333	234:153	12
14116	14117	0.06666666666666667	229:158	15
14118	14119	0.09090909090909091	329:58	11
14129	14130	0.25	162:225	4
14148	14149	0.125	319:68	8
14178	14179	0.3333333333333333	177:210	3
14190	14191	0.1111111111111111	301:86	9
14199	14200	0.2	292:95	5
14204	14205	0.5	367:20	2
14210	14211	0.5	160:227	2
14228	14229	0.2	292:95	5
14230	14231	0.2	329:58	5
14238	14239	0.5	353:34	2
14285	14286	0.5	160:227	2
14294	14295	0.5	160:227	2
14322	14323	0.16666666666666666	294:93	6
14333	14334	0.3333333333333333	358:29	3
14339	14340	0.3333333333333333	363:24	3
14348	14349	0.5	367:20	2
14376	14377	0.5	369:18	2
14519	14520	0.5	369:18	2
14537	14538	0.16666666666666666	184:203	6
14540	14541	0.3333333333333333	367:20	3
14575	14576	0.5	384:3	2
14582	14583	0.25	338:49	4
14600	14601	0.25	339:48	4
14603	14604	0.16666666666666666	234:153	6
14623	14624	0.3333333333333333	177:210	3
14628	14629	0.3333333333333333	177:210	3
14639	14640	0.2	198:189	5
14657	14658	0.25	182:205	4
14663	14664	0.25	182:205	4
14672	14673	0.25	216:171	4
14684	14685	0.2	200:187	5
14690	14691	0.2	351:36	5
14702	14703	0.3333333333333333	369:18	3
14720	14721	0.25	178:209	4
14729	14730	0.25	178:209	4
14756	14757	0.3333333333333333	162:225	3
14808	14809	0.3333333333333333	349:38	3
14835	14836	0.5	360:27	2
14905	14906	0.5	368:19	2
14932	14933	0.3333333333333333	163:224	3
14983	14984	0.3333333333333333	366:21	3
14998	14999	0.25	327:60	4
15022	15023	0.25	359:28	4
15052	15053	0.16666666666666666	294:93	6
15067	15068	0.25	357:30	4
15100	15101	0.5	384:3	2
15101	15102	0.5	380:7	2
15130	15131	0.5	371:16	2
15197	15198	0.2	328:59	5
15295	15296	0.5	160:227	2
15302	15303	0.5	349:38	2
15319	15320	0.25	333:54	4
15344	15345	0.5	349:38	2
15361	15362	0.5	349:38	2
15373	15374	0.2	309:78	5
15553	15554	0.16666666666666666	189:198	6
15609	15610	0.2	280:107	5
15615	15616	0.5	182:205	2
15623	15624	0.5	160:227	2
15674	15675	0.5	349:38	2
15758	15759	0.25	188:199	4
15789	15790	0.5	160:227	2
15800	15801	0.5	160:227	2
15851	15852	0.14285714285714285	334:53	7
15867	15868	0.16666666666666666	337:50	6
15896	15897	0.5	368:19	2
15902	15903	0.125	220:167	8
15905	15906	0.2	351:36	5
15932	15933	0.16666666666666666	183:204	6
15944	15945	0.2	275:112	5
15947	15948	0.1111111111111111	296:91	9
15971	15972	0.2	351:36	5
15980	15981	0.125	301:86	8
15989	15990	0.3333333333333333	367:20	3
16009	16010	0.5	160:227	2
16037	16038	0.25	196:191	4
16052	16053	0.14285714285714285	293:94	7
16079	16080	0.25	356:31	4
16091	16092	0.2	187:200	5
16124	16125	0.3333333333333333	364:23	3
16169	16170	0.3333333333333333	177:210	3
16193	16194	0.2	180:207	5
16217	16218	0.3333333333333333	180:207	3
16246	16247	0.2	202:185	5
16250	16251	0.5	379:8	2
16310	16311	0.5	374:13	2
16329	16330	0.3333333333333333	346:41	3
16349	16350	0.16666666666666666	253:134	6
16355	16356	0.14285714285714285	248:139	7
16361	16362	0.14285714285714285	208:179	7
16367	16368	0.2	205:182	5
16394	16395	0.16666666666666666	320:67	6
16409	16410	0.2	195:192	5
16415	16416	0.5	379:8	2
16445	16446	0.25	212:175	4
16457	16458	0.25	212:175	4
16463	16464	0.16666666666666666	300:87	6
16475	16476	0.5	379:8	2
16484	16485	0.5	350:37	2
16489	16490	0.5	380:7	2
16541	16542	0.2	214:173	5
16549	16550	0.2	342:45	5
16550	16551	0.2	357:30	5
16552	16553	0.125	324:63	8
16563	16564	0.3333333333333333	350:37	3
16567	16568	0.16666666666666666	317:70	6
16575	16576	0.5	374:13	2
16576	16577	0.5	349:38	2
16589	16590	0.14285714285714285	353:34	7
16603	16604	0.25	301:86	4
16627	16628	0.14285714285714285	339:48	7
16632	16633	0.5	366:21	2
16643	16644	0.3333333333333333	350:37	3
16714	16715	0.16666666666666666	170:217	6
16799	16800	0.14285714285714285	251:136	7
16802	16803	0.5	366:21	2
16887	16888	0.2	169:218	5
16900	16901	0.14285714285714285	262:125	7
16944	16945	0.5	349:38	2
17017	17018	0.5	349:38	2
17079	17080	0.3333333333333333	174:213	3
17124	17125	0.5	377:10	2
17151	17152	0.5	349:38	2
17154	17155	0.5	375:12	2
17166	17167	0.3333333333333333	162:225	3
17196	17197	0.5	163:224	2
17223	17224	0.14285714285714285	284:103	7
17416	17417	0.5	349:38	2
17565	17566	0.5	163:224	2
17589	17590	0.3333333333333333	177:210	3
17671	17672	0.3333333333333333	199:188	3
17700	17701	0.3333333333333333	169:218	3
17891	17892	0.5	160:227	2
17901	17902	0.1	261:126	10
17946	17947	0.16666666666666666	272:115	6
18105	18106	0.5	349:38	2
18122	18123	0.3333333333333333	346:41	3
18158	18159	0.5	365:22	2
18245	18246	0.3333333333333333	346:41	3
18335	18336	0.5	160:227	2
18353	18354	0.16666666666666666	225:162	6
18383	18384	0.5	160:227	2
18389	18390	0.16666666666666666	331:56	6
18407	18408	0.14285714285714285	230:157	7
18440	18441	0.3333333333333333	359:28	3
18449	18450	0.3333333333333333	359:28	3
18458	18459	0.5	339:48	2
18524	18525	0.3333333333333333	361:26	3
18575	18576	0.25	375:12	4
18581	18582	0.1111111111111111	269:118	9
18596	18597	0.14285714285714285	200:187	7
18614	18615	0.125	305:82	8
18626	18627	0.3333333333333333	361:26	3
18656	18657	0.5	349:38	2
18659	18660	0.16666666666666666	222:165	6
18665	18666	0.2	183:204	5
18704	18705	0.1111111111111111	265:122	9
18755	18756	0.2	323:64	5
18758	18759	0.5	349:38	2
18761	18762	0.125	263:124	8
18782	18783	0.5	160:227	2
18956	18957	0.25	317:70	4
18980	18981	0.16666666666666666	325:62	6
18989	18990	0.16666666666666666	272:115	6
19158	19159	0.3333333333333333	365:22	3
19175	19176	0.3333333333333333	360:27	3
19184	19185	0.14285714285714285	270:117	7
19190	19191	0.25	200:187	4
19205	19206	0.25	200:187	4
19241	19242	0.3333333333333333	176:211	3
19338	19339	0.5	380:7	2
19439	19440	0.3333333333333333	305:82	3
19457	19458	0.2	353:34	5
19619	19620	0.25	315:72	4
19667	19668	0.16666666666666666	271:116	6
19709	19710	0.5	371:16	2
19873	19874	0.3333333333333333	366:21	3
19888	19889	0.3333333333333333	193:194	3
19969	19970	0.3333333333333333	211:176	3
19999	20000	0.5	382:5	2
20029	20030	0.14285714285714285	295:92	7
20038	20039	0.3333333333333333	161:226	3
20267	20268	0.125	290:97	8
20312	20313	0.5	370:17	2
20345	20346	0.2	226:161	5
20360	20361	0.25	168:219	4
20420	20421	0.3333333333333333	338:49	3
20435	20436	0.3333333333333333	338:49	3
20453	20454	0.25	324:63	4
20459	20460	0.25	324:63	4
20531	20532	0.3333333333333333	339:48	3
20552	20553	0.3333333333333333	339:48	3
20588	20589	0.5	160:227	2
20684	20685	0.3333333333333333	358:29	3
20741	20742	0.25	243:144	4
20792	20793	0.3333333333333333	245:142	3
20801	20802	0.2	334:53	5
20816	20817	0.5	373:14	2
20954	20955	0.5	345:42	2
21005	21006	0.5	345:42	2
21024	21025	0.5	368:19	2
21032	21033	0.25	203:184	4
21122	21123	0.5	362:25	2
21138	21139	0.3333333333333333	245:142	3
21191	21192	0.5	379:8	2
21236	21237	0.14285714285714285	219:168	7
21317	21318	0.3333333333333333	311:76	3
21410	21411	0.2	309:78	5
21422	21423	0.2	309:78	5
21455	21456	0.14285714285714285	259:128	7
21488	21489	0.16666666666666666	310:77	6
21494	21495	0.25	178:209	4
21515	21516	0.16666666666666666	204:183	6
21527	21528	0.3333333333333333	265:122	3
21548	21549	0.3333333333333333	245:142	3
21551	21552	0.5	383:4	2
21602	21603	0.25	261:126	4
21623	21624	0.25	261:126	4
21633	21634	0.0625	274:113	16
21640	21641	0.3333333333333333	374:13	3
21658	21659	0.5	382:5	2
21661	21662	0.5	379:8	2
21662	21663	0.16666666666666666	248:139	6
21665	21666	0.3333333333333333	349:38	3
21692	21693	0.25	347:40	4
21730	21731	0.16666666666666666	182:205	6
21738	21739	0.3333333333333333	265:122	3
21739	21740	0.5	350:37	2
21746	21747	0.3333333333333333	211:176	3
21747	21748	0.5	382:5	2
21750	21751	0.5	345:42	2
21754	21755	0.3333333333333333	241:146	3
21774	21775	0.2	166:221	5
21783	21784	0.3333333333333333	365:22	3
21789	21790	0.5	379:8	2
21803	21804	0.5	352:35	2
21808	21809	0.5	354:33	2
21821	21822	0.16666666666666666	339:48	6
21822	21823	0.09090909090909091	234:153	11
21966	21967	0.5	380:7	2
22095	22096	0.5	368:19	2
22101	22102	0.3333333333333333	364:23	3
22125	22126	0.2	248:139	5
22152	22153	0.5	368:19	2
22206	22207	0.5	351:36	2
22218	22219	0.16666666666666666	339:48	6
22272	22273	0.16666666666666666	289:98	6
22278	22279	0.16666666666666666	241:146	6
22281	22282	0.5	352:35	2
22344	22345	0.3333333333333333	365:22	3
22377	22378	0.5	368:19	2
22401	22402	0.5	365:22	2
22425	22426	0.5	383:4	2
22431	22432	0.3333333333333333	177:210	3
22440	22441	0.5	368:19	2
22446	22447	0.5	368:19	2
22449	22450	0.25	196:191	4
22464	22465	0.5	368:19	2
22479	22480	0.16666666666666666	251:136	6
22485	22486	0.3333333333333333	233:154	3
22497	22498	0.5	368:19	2
22498	22499	0.3333333333333333	233:154	3
22518	22519	0.5	368:19	2
22560	22561	0.5	351:36	2
22605	22606	0.5	351:36	2
22614	22615	0.14285714285714285	336:51	7
22635	22636	0.5	351:36	2
22650	22651	0.5	351:36	2
22659	22660	0.5	351:36	2
22689	22690	0.3333333333333333	281:106	3
22785	22786	0.1111111111111111	258:129	9
22800	22801	0.25	374:13	4
22842	22843	0.5	315:72	2
22905	22906	0.2	200:187	5
22938	22939	0.25	378:9	4
22959	22960	0.3333333333333333	377:10	3
23029	23030	0.5	160:227	2
23057	23058	0.25	323:64	4
23064	23065	0.5	364:23	2
23175	23176	0.5	160:227	2
23196	23197	0.5	160:227	2
23216	23217	0.14285714285714285	305:82	7
23222	23223	0.25	354:33	4
23230	23231	0.3333333333333333	356:31	3
23246	23247	0.5	382:5	2
23268	23269	0.09090909090909091	272:115	11
23273	23274	0.25	336:51	4
23283	23284	0.5	382:5	2
23297	23298	0.5	379:8	2
23309	23310	0.1111111111111111	237:150	9
23310	23311	0.5	371:16	2
23324	23325	0.3333333333333333	350:37	3
23326	23327	0.14285714285714285	235:152	7
23347	23348	0.14285714285714285	251:136	7
23367	23368	0.125	264:123	8
23379	23380	0.14285714285714285	263:124	7
23380	23381	0.2	304:83	5
23385	23386	0.5	383:4	2
23393	23394	0.14285714285714285	354:33	7
23396	23397	0.14285714285714285	218:169	7
23416	23417	0.1	183:204	10
23445	23446	0.1111111111111111	193:194	9
23450	23451	0.09090909090909091	186:201	11
23456	23457	0.1111111111111111	301:86	9
23470	23471	0.5	385:2	2
23471	23472	0.5	382:5	2
23480	23481	0.3333333333333333	382:5	3
23488	23489	0.3333333333333333	382:5	3
23494	23495	0.5	382:5	2
23502	23503	0.5	382:5	2
23506	23507	0.14285714285714285	340:47	7
23539	23540	0.3333333333333333	373:14	3
23586	23587	0.5	372:15	2
23783	23784	0.5	384:3	2
23808	23809	0.038461538461538464	228:159	26
23815	23816	0.5	351:36	2
23823	23824	0.5	351:36	2
24262	24263	0.3333333333333333	355:32	3
24472	24473	0.3333333333333333	335:52	3
24493	24494	0.5	382:5	2
24539	24540	0.16666666666666666	253:134	6
24583	24584	0.5	352:35	2
24613	24614	0.25	317:70	4
24703	24704	0.25	345:42	4
24718	24719	0.3333333333333333	379:8	3
24739	24740	0.5	348:39	2
24892	24893	0.5	160:227	2
24976	24977	0.5	160:227	2
25030	25031	0.2	345:42	5
25039	25040	0.25	343:44	4
25190	25191	0.25	353:34	4
25207	25208	0.16666666666666666	282:105	6
25258	25259	0.16666666666666666	320:67	6
25261	25262	0.14285714285714285	228:159	7
25429	25430	0.3333333333333333	358:29	3
25558	25559	0.14285714285714285	255:132	7
25753	25754	0.14285714285714285	249:138	7
25764	25765	0.5	148:239	2
25930	25931	0.5	381:6	2
25942	25943	0.2	232:155	5
25960	25961	0.3333333333333333	161:226	3
25978	25979	0.16666666666666666	281:106	6
26011	26012	0.2	334:53	5
26014	26015	0.2	342:45	5
26059	26060	0.1111111111111111	286:101	9
26089	26090	0.5	342:45	2
26170	26171	0.25	194:193	4
26197	26198	0.25	198:189	4
26224	26225	0.25	354:33	4
26278	26279	0.5	353:34	2
26440	26441	0.25	205:182	4
26501	26502	0.5	160:227	2
26509	26510	0.5	349:38	2
26584	26585	0.3333333333333333	338:49	3
26698	26699	0.5	351:36	2
26701	26702	0.25	344:43	4
26761	26762	0.25	335:52	4
26815	26816	0.5	160:227	2
26824	26825	0.25	176:211	4
26866	26867	0.3333333333333333	196:191	3
26933	26934	0.2	286:101	5
26957	26958	0.3333333333333333	340:47	3
26963	26964	0.25	331:56	4
27008	27009	0.25	194:193	4
27152	27153	0.14285714285714285	315:72	7
27161	27162	0.14285714285714285	294:93	7
27170	27171	0.5	160:227	2
27176	27177	0.1111111111111111	259:128	9
27191	27192	0.1111111111111111	221:166	9
27230	27231	0.5	364:23	2
27251	27252	0.25	314:73	4
27257	27258	0.3333333333333333	347:40	3
27317	27318	0.2	319:68	5
27371	27372	0.25	315:72	4
