n_events,operon_id,operon_label,operon_locus_tags,NCTC8325_chrom,BeginTU,EndTUshort,mutated_features,mutated_features_types,mutated_genes
5,TU-U577,"S452, NA, NA, NA, mutS2, S453, trxA, S454, uvrC","new_1056585_1056821_1, SAOUHSC_01096, SAOUHSC_01097, SAOUHSC_01098, SAOUHSC_01099, new_1061787_1061926_1, SAOUHSC_01100, new_1062274_1062633_1, SAOUHSC_01102",NC_007795,1056585,1064116,"SAOUHSC_01098,SAOUHSC_01099,SAOUHSC_01102",NCTC8325_operons,"polX,mutS2,uvrC"
4,TU-U1026,"NA, NA, S816, NA, NA, NA, NA, NA, NA, NA, S813, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, S812, NA, NA, NA, NA, NA, S811, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, S810","SAOUHSC_02083, SAOUHSC_02081, new_1962593_1962648_-1, SAOUHSC_02080, SAOUHSC_02079, SAOUHSC_02078, SAOUHSC_02077, SAOUHSC_02075, SAOUHSC_02074, SAOUHSC_02073, new_1958584_1958666_-1, SAOUHSC_02071, SAOUHSC_02070, SAOUHSC_02069, SAOUHSC_02068, SAOUHSC_02067, SAOUHSC_02066, SAOUHSC_02062, SAOUHSC_02061, SAOUHSC_02058, SAOUHSC_02057, SAOUHSC_02056, SAOUHSC_02053, SAOUHSC_02052, SAOUHSC_02051, new_1950544_1950672_-1, SAOUHSC_02050, SAOUHSC_02049, SAOUHSC_02048, SAOUHSC_02047, SAOUHSC_02046, new_1945883_1945990_-1, SAOUHSC_02044, SAOUHSC_02043, SAOUHSC_02042, SAOUHSC_02041, SAOUHSC_02040, SAOUHSC_02038, SAOUHSC_02037, SAOUHSC_02036, SAOUHSC_02035, SAOUHSC_02034, SAOUHSC_02033, SAOUHSC_02031, SAOUHSC_02030, SAOUHSC_02029, SAOUHSC_02028, SAOUHSC_02027, SAOUHSC_02026, SAOUHSC_02025, SAOUHSC_02023, SAOUHSC_02022, SAOUHSC_02021, SAOUHSC_02020, SAOUHSC_02019, new_1924468_1924646_-1",NC_007795,1963275,1924562,"SAOUHSC_02025,SAOUHSC_02078,SAOUHSC_02068,SAOUHSC_02028",NCTC8325_operons,
4,TU-U1045,"pcrB, pcrA, ligA, NA","SAOUHSC_02124, SAOUHSC_02123, SAOUHSC_02122, SAOUHSC_02121",NC_007795,1999635,1993497,"SAOUHSC_02123,SAOUHSC_02121,SAOUHSC_02124",NCTC8325_operons,"pcrA,-,pcrB"
4,TU-U1125,"cls2, NA, S899","SAOUHSC_02323, SAOUHSC_02324, new_2157536_2158194_1",NC_007795,2155322,2158134,"new_2157536_2158194_1,SAOUHSC_02323",NCTC8325_operons,cls2
4,TU-U1201,"S967, rplC, rplD, rplW, rplB, S966, rpsS, rplV, rpsC, rplP, rpmC, rpsQ, rplN, rplX, rplE, rpsN, rpsH, rplF, rplR, rpsE, rpmD, rplO, secY, adk, S965, infA, rpmJ, rpsM, rpsK, rpoA, rplQ, S964","new_2317804_2318365_-1, SAOUHSC_02512, SAOUHSC_02511, SAOUHSC_02510, SAOUHSC_02509, new_2315284_2315349_-1, SAOUHSC_02508, SAOUHSC_02507, SAOUHSC_02506, SAOUHSC_02505, SAOUHSC_02504, SAOUHSC_02503, SAOUHSC_02502, SAOUHSC_02501, SAOUHSC_02500, SAOUHSC_02499, SAOUHSC_02498, SAOUHSC_02496, SAOUHSC_02495, SAOUHSC_02494, SAOUHSC_02493, SAOUHSC_02492, SAOUHSC_02491, SAOUHSC_02490, new_2306793_2306984_-1, SAOUHSC_02489, SAOUHSC_02488, SAOUHSC_02487, SAOUHSC_02486, SAOUHSC_02485, SAOUHSC_02484, new_2304089_2304223_-1",NC_007795,2318365,2304070,"SAOUHSC_02502,SAOUHSC_02493,new_2317804_2318365_-1,SAOUHSC_02500",NCTC8325_operons,"rplN,rpmD,rpsJ,rplE"
4,TU-U1441,"S1141, NA, NA, NA, S1140, NA, S1139","new_2673777_2673854_-1, SAOUHSC_02904, SAOUHSC_02903, SAOUHSC_02902, new_2671240_2671336_-1, SAOUHSC_02901, new_2670241_2670348_-1",NC_007795,2673854,2670012,"SAOUHSC_02904,new_2673777_2673854_-1,U1441,SAOUHSC_02901","NCTC8325_operons,promoter",-
4,TU-U196,"veg, S153, ipk, purR, yabJ, S154, spoVG","SAOUHSC_00465, new_466540_466773_1, SAOUHSC_00466, SAOUHSC_00467, SAOUHSC_00468, new_468858_468928_1, SAOUHSC_00469",NC_007795,466175,469337,"SAOUHSC_00466,SAOUHSC_00465,SAOUHSC_00469",NCTC8325_operons,"ipk,veg,spoVG"
4,TU-U216,"ctsR, S169, NA, NA, clpC, S170, S171, S172, radA, NA, S173, S174, gltX, S175, S176, cysE","SAOUHSC_00502, new_503631_503726_1, SAOUHSC_00503, SAOUHSC_00504, SAOUHSC_00505, new_507717_507908_1, new_507910_508021_1, new_508023_508196_1, SAOUHSC_00507, SAOUHSC_00508, new_510630_511036_1, new_511038_511185_1, SAOUHSC_00509, new_512705_512985_1, new_512987_513062_1, SAOUHSC_00510",NC_007795,503125,513469,"SAOUHSC_00505,new_508023_508196_1,new_510630_511036_1,SAOUHSC_00503",NCTC8325_operons,"clpC,mcsA"
4,TU-U316,"NA, NA, NA, S259, NA, S260, NA, NA, NA, NA","SAOUHSC_00675, SAOUHSC_00676, SAOUHSC_00677, new_666312_666417_1, SAOUHSC_00678, new_667063_667177_1, SAOUHSC_00679, SAOUHSC_00680, SAOUHSC_00681, SAOUHSC_00682",NC_007795,664826,669920,"SAOUHSC_00681,SAOUHSC_00679,SAOUHSC_00675,SAOUHSC_00680",NCTC8325_operons,"-,ccpE"
4,TU-U342,"S279, queC, queD, queE","new_704935_705180_-1, SAOUHSC_00721, SAOUHSC_00720, SAOUHSC_00719",NC_007795,705180,703078,"new_704935_705180_-1,SAOUHSC_00721",NCTC8325_operons,queC
4,TU-U55,"S48, lmrP, S49, NA, NA","new_147204_147347_1, SAOUHSC_00143, new_148599_149044_1, SAOUHSC_00144, SAOUHSC_00145",NC_007795,147160,156860,"SAOUHSC_00144,SAOUHSC_00143,SAOUHSC_00145",NCTC8325_operons,"ausA,-"
4,TU-U56,"S48, lmrP, S49, NA, NA","new_147204_147347_1, SAOUHSC_00143, new_148599_149044_1, SAOUHSC_00144, SAOUHSC_00145",NC_007795,147204,156860,"SAOUHSC_00144,SAOUHSC_00143,SAOUHSC_00145",NCTC8325_operons,"ausA,-"
4,TU-U626,"S495, acpP, S496, rnc, S497, smc, ftsY, NA, ffh, S498","new_1151465_1151544_1, SAOUHSC_01201, new_1151798_1151893_1, SAOUHSC_01203, new_1152626_1152771_1, SAOUHSC_01204, SAOUHSC_01205, SAOUHSC_01206, SAOUHSC_01207, new_1159344_1159684_1",NC_007795,1151465,1159673,"SAOUHSC_01204,SAOUHSC_01203,new_1151798_1151893_1,SAOUHSC_01205,SAOUHSC_01206",NCTC8325_operons,"smc,rnc,ftsY,-"
4,TU-U637,"S508, rpsB, NA, tsf, S509, pyrH, frr, S510, S511, uppS, cdsA, S512, NA, proS, S513, polC, S514, S515, rimP, nusA, NA, NA, infB","new_1180686_1180856_1, SAOUHSC_01232, SAOUHSC_01233, SAOUHSC_01234, new_1182690_1182787_1, SAOUHSC_01235, SAOUHSC_01236, new_1184084_1184389_1, new_1184391_1184455_1, SAOUHSC_01237, SAOUHSC_01238, new_1186016_1186353_1, SAOUHSC_01239, SAOUHSC_01240, new_1189377_1189524_1, SAOUHSC_01241, new_1193836_1194035_1, new_1194037_1194124_1, SAOUHSC_01242, SAOUHSC_01243, SAOUHSC_01244, SAOUHSC_01245, SAOUHSC_01246",NC_007795,1180686,1198535,"SAOUHSC_01241,SAOUHSC_01234,SAOUHSC_01246,new_1194037_1194124_1,new_1186016_1186353_1,SAOUHSC_01240",NCTC8325_operons,"polC,tsf,infB,proS"
4,TU-U718,"pstS, NA, PstC, pstA, pstB, phoU","SAOUHSC_01389, SAOUHSC_01388, SAOUHSC_01387, SAOUHSC_01386, SAOUHSC_01385, SAOUHSC_01384",NC_007795,1332403,1327743,"U718,SAOUHSC_01385,SAOUHSC_01389,SAOUHSC_01387","NCTC8325_operons,promoter","pstB,pstS,pstC"
4,TU-U817,"S657, NA, NA, dnaG, S656, sigA, NA, NA","new_1579057_1579173_-1, SAOUHSC_01665, SAOUHSC_01664, SAOUHSC_01663, new_1575605_1575827_-1, SAOUHSC_01662, SAOUHSC_01661, SAOUHSC_01660",NC_007795,1579176,1572560,"SAOUHSC_01664,SAOUHSC_01660",NCTC8325_operons,-
4,TU-U836,"S675, NA, S674, NA, NA, NA, NA, NA, S673","new_1619567_1619648_-1, SAOUHSC_01712, new_1618780_1618864_-1, SAOUHSC_01711, SAOUHSC_01710, SAOUHSC_01709, SAOUHSC_01708, SAOUHSC_01707, new_1613928_1614044_-1",NC_007795,1619648,1613972,"SAOUHSC_01709,SAOUHSC_01711,SAOUHSC_01707,SAOUHSC_01708",NCTC8325_operons,"-,pxpA"
4,TU-U849,"S688, relA, dtd, lytH, S687, S686, hisS, aspS","new_1646339_1646476_-1, SAOUHSC_01742, SAOUHSC_01741, SAOUHSC_01739, new_1642486_1642778_-1, new_1642353_1642484_-1, SAOUHSC_01738, SAOUHSC_01737",NC_007795,1646476,1639268,"SAOUHSC_01738,SAOUHSC_01742,SAOUHSC_01737,SAOUHSC_01739",NCTC8325_operons,"hisS,relA,aspS,lytH"
4,TU-U850,"S689, S688, relA, dtd, lytH, S687, S686, hisS, aspS","new_1646478_1646578_-1, new_1646339_1646476_-1, SAOUHSC_01742, SAOUHSC_01741, SAOUHSC_01739, new_1642486_1642778_-1, new_1642353_1642484_-1, SAOUHSC_01738, SAOUHSC_01737",NC_007795,1646583,1639268,"SAOUHSC_01738,SAOUHSC_01742,SAOUHSC_01737,new_1646478_1646578_-1,U850,SAOUHSC_01739","NCTC8325_operons,promoter","hisS,relA,aspS,lytH"
3,TU-U1009,"NA, S800, S799, NA","SAOUHSC_02004, new_1913979_1914152_-1, new_1913863_1913977_-1, SAOUHSC_02003",NC_007795,1914739,1912203,"SAOUHSC_02003,new_1913863_1913977_-1",NCTC8325_operons,-
3,TU-U1024,"NA, NA, NA, S813, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, S812, NA, NA, NA, NA, NA, S811, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, S810","SAOUHSC_02075, SAOUHSC_02074, SAOUHSC_02073, new_1958584_1958666_-1, SAOUHSC_02071, SAOUHSC_02070, SAOUHSC_02069, SAOUHSC_02068, SAOUHSC_02067, SAOUHSC_02066, SAOUHSC_02062, SAOUHSC_02061, SAOUHSC_02058, SAOUHSC_02057, SAOUHSC_02056, SAOUHSC_02053, SAOUHSC_02052, SAOUHSC_02051, new_1950544_1950672_-1, SAOUHSC_02050, SAOUHSC_02049, SAOUHSC_02048, SAOUHSC_02047, SAOUHSC_02046, new_1945883_1945990_-1, SAOUHSC_02044, SAOUHSC_02043, SAOUHSC_02042, SAOUHSC_02041, SAOUHSC_02040, SAOUHSC_02038, SAOUHSC_02037, SAOUHSC_02036, SAOUHSC_02035, SAOUHSC_02034, SAOUHSC_02033, SAOUHSC_02031, SAOUHSC_02030, SAOUHSC_02029, SAOUHSC_02028, SAOUHSC_02027, SAOUHSC_02026, SAOUHSC_02025, SAOUHSC_02023, SAOUHSC_02022, SAOUHSC_02021, SAOUHSC_02020, SAOUHSC_02019, new_1924468_1924646_-1",NC_007795,1960619,1924562,"SAOUHSC_02025,SAOUHSC_02068,SAOUHSC_02028",NCTC8325_operons,
3,TU-U1032,"map, S824, NA, NA, vraS, vraR, S823","SAOUHSC_02102, new_1975724_1975891_-1, SAOUHSC_02101, SAOUHSC_02100, SAOUHSC_02099, SAOUHSC_02098, new_1972873_1972961_-1",NC_007795,1976737,1972910,"SAOUHSC_02098,SAOUHSC_02100,SAOUHSC_02102",NCTC8325_operons,"vraR,vraT,map"
3,TU-U1034,"S826, NA, map, S824, NA, NA, vraS, vraR","new_1976961_1977177_-1, SAOUHSC_A02013, SAOUHSC_02102, new_1975724_1975891_-1, SAOUHSC_02101, SAOUHSC_02100, SAOUHSC_02099, SAOUHSC_02098",NC_007795,1977177,1972927,"SAOUHSC_02098,SAOUHSC_02100,SAOUHSC_02102",NCTC8325_operons,"vraR,vraT,map"
3,TU-U11,"S9, walR, walK, yycH, yycI","new_24770_24930_1, SAOUHSC_00020, SAOUHSC_00021, SAOUHSC_00022, SAOUHSC_00023",NC_007795,24769,29581,"SAOUHSC_00021,new_24770_24930_1,SAOUHSC_00022",NCTC8325_operons,"walK,walH"
3,TU-U1112,"NA, NA, S891, NA, rsbU, S890, rsbV, rsbW, sigB, S889, NA, NA, S888","SAOUHSC_02304, SAOUHSC_02303, new_2134654_2134938_-1, SAOUHSC_02302, SAOUHSC_02301, new_2133482_2133599_-1, SAOUHSC_02300, SAOUHSC_02299, SAOUHSC_02298, new_2131541_2131867_-1, SAOUHSC_02297, SAOUHSC_02296, new_2128757_2128896_-1",NC_007795,2135521,2128800,"new_2133482_2133599_-1,new_2134654_2134938_-1,SAOUHSC_02296,SAOUHSC_02298",NCTC8325_operons,"-,sigB"
3,TU-U1113,"S892, NA, NA, NA, acpS, alr, NA, NA, S891, NA, rsbU, S890, rsbV, rsbW, sigB","new_2139664_2139731_-1, SAOUHSC_02309, SAOUHSC_02308, SAOUHSC_02307, SAOUHSC_02306, SAOUHSC_02305, SAOUHSC_02304, SAOUHSC_02303, new_2134654_2134938_-1, SAOUHSC_02302, SAOUHSC_02301, new_2133482_2133599_-1, SAOUHSC_02300, SAOUHSC_02299, SAOUHSC_02298",NC_007795,2139729,2131911,"SAOUHSC_02308,new_2133482_2133599_-1,new_2134654_2134938_-1,SAOUHSC_02309,SAOUHSC_02298",NCTC8325_operons,"-,sigB"
3,TU-U115,nanA,SAOUHSC_00295,NC_007795,309613,309511,SAOUHSC_00295,NCTC8325_operons,nanA
3,TU-U1174,"NA, NA, NA, S943, sdrM, S942, sepA, S941, mdeA","SAOUHSC_02424, SAOUHSC_02423, SAOUHSC_02422, new_2249707_2249882_-1, SAOUHSC_02420, new_2248265_2248362_-1, SAOUHSC_02419, new_2247470_2247698_-1, SAOUHSC_02418",NC_007795,2252358,2246066,"SAOUHSC_02420,new_2247470_2247698_-1,SAOUHSC_02418",NCTC8325_operons,"sdrM,lmrS"
3,TU-U124,"mepR, S99, mepA","SAOUHSC_00314, new_329258_329363_1, SAOUHSC_00315",NC_007795,328797,330362,"U124,SAOUHSC_00314,SAOUHSC_00315","NCTC8325_operons,promoter","mepR,mepA"
3,TU-U1257,"S1010, hutU, hutI","new_2398066_2398148_-1, SAOUHSC_02607, SAOUHSC_02606",NC_007795,2398147,2395190,"SAOUHSC_02606,SAOUHSC_02607",NCTC8325_operons,"hutI,hutU"
3,TU-U1327,"S1058, NA","new_2502718_2502777_-1, SAOUHSC_02721",NC_007795,2502777,2502630,"U1327,new_2502718_2502777_-1","NCTC8325_operons,promoter",
3,TU-U1342,"NA, S1062, NA, NA","SAOUHSC_02740, new_2518833_2519027_-1, SAOUHSC_02739, SAOUHSC_02737",NC_007795,2520488,2517012,"U1342,SAOUHSC_02737","NCTC8325_operons,promoter",-
3,TU-U1356,"S1077, S1076, dapF, NA, S1075, NA, S1074, opp-1A, opp-1B, opp-1C, opp-1D, opp-1F, NA, S1073","new_2547824_2548037_-1, new_2547543_2547822_-1, SAOUHSC_02770, SAOUHSC_02769, new_2545813_2545891_-1, SAOUHSC_02768, new_2544456_2544597_-1, SAOUHSC_02767, SAOUHSC_02766, SAOUHSC_02765, SAOUHSC_02764, SAOUHSC_02763, SAOUHSC_02762, new_2538124_2538234_-1",NC_007795,2548040,2538160,"new_2538124_2538234_-1,SAOUHSC_02770,SAOUHSC_02769,SAOUHSC_02766",NCTC8325_operons,"cntK,cntL,cntB"
3,TU-U1439,"S1137, NA, NA, NA","new_2666860_2666935_-1, SAOUHSC_02896, SAOUHSC_02895, SAOUHSC_02894",NC_007795,2666936,2665320,"SAOUHSC_02894,SAOUHSC_02896,SAOUHSC_02895",NCTC8325_operons,-
3,TU-U2,"NA, recF, gyrB, gyrA","SAOUHSC_00003, SAOUHSC_00004, SAOUHSC_00005, SAOUHSC_00006",NC_007795,3632,9657,"SAOUHSC_00005,SAOUHSC_00006",NCTC8325_operons,"gyrB,gyrA"
3,TU-U201,"S158, pth, mfd, NA, NA, NA, NA, NA, S159, tilS","new_472941_473152_1, SAOUHSC_00475, SAOUHSC_00477, SAOUHSC_00479, SAOUHSC_00480, SAOUHSC_00481, SAOUHSC_00482, SAOUHSC_00483, new_481117_481229_1, SAOUHSC_00484",NC_007795,472941,482223,"SAOUHSC_00477,SAOUHSC_00484,SAOUHSC_00481",NCTC8325_operons,"mfd,tilS,-"
3,TU-U227,"NA, S187, rpsL, rpsG, S188, fusA, S189, tuf","SAOUHSC_00526, new_529863_529959_1, SAOUHSC_00527, SAOUHSC_00528, new_530910_531031_1, SAOUHSC_00529, new_533114_533329_1, SAOUHSC_00530",NC_007795,529554,534549,"SAOUHSC_00529,U227","NCTC8325_operons,promoter",fusA
3,TU-U317,"S259, NA, S260, NA, NA, NA, NA","new_666312_666417_1, SAOUHSC_00678, new_667063_667177_1, SAOUHSC_00679, SAOUHSC_00680, SAOUHSC_00681, SAOUHSC_00682",NC_007795,666312,669937,"SAOUHSC_00681,SAOUHSC_00679,SAOUHSC_00680",NCTC8325_operons,"-,ccpE"
3,TU-U35,"S32, sbnA, sbnB, sbnC, sbnD, sbnE, sbnF, sbnG, sbnH, sbnI, S33","new_79653_79884_1, SAOUHSC_00075, SAOUHSC_00076, SAOUHSC_00077, SAOUHSC_00078, SAOUHSC_00079, SAOUHSC_00080, SAOUHSC_00081, SAOUHSC_00082, SAOUHSC_00083, new_90968_91059_1",NC_007795,79653,91019,"SAOUHSC_00080,SAOUHSC_00082,SAOUHSC_00078",NCTC8325_operons,"sbnF,sbnH,sbnD"
3,TU-U369,"S303, secA, NA","new_749646_749939_1, SAOUHSC_00769, SAOUHSC_00770",NC_007795,749646,752625,"SAOUHSC_00769,SAOUHSC_00770",NCTC8325_operons,secA
3,TU-U374,"S306, uvrB, NA, S308, uvrB2, uvrA","new_756388_756469_1, SAOUHSC_00776, SAOUHSC_00778, new_758528_758666_1, SAOUHSC_00779, SAOUHSC_00780",NC_007795,756388,762485,"SAOUHSC_00776,SAOUHSC_00780,U374","NCTC8325_operons,promoter","uvrB,uvrA"
3,TU-U397,clfA,SAOUHSC_00812,NC_007795,792928,795788,SAOUHSC_00812,NCTC8325_operons,clfA
3,TU-U423,"NA, S351, S353, sufC, S354, sufD, S355, sufS, sufU, S356, sufB, S357","SAOUHSC_00845, new_816270_817529_1, new_817531_817631_1, SAOUHSC_00847, new_818394_818490_1, SAOUHSC_00848, new_819799_819903_1, SAOUHSC_00849, SAOUHSC_00850, new_821609_821758_1, SAOUHSC_00851, new_823157_823252_1",NC_007795,815975,823209,"SAOUHSC_00849,SAOUHSC_00847,SAOUHSC_00851,SAOUHSC_00848",NCTC8325_operons,"sufS,sufC,sufB,sufD"
3,TU-U426,"S353, sufC, S354, sufD, S355, sufS, sufU, S356, sufB, S357","new_817531_817631_1, SAOUHSC_00847, new_818394_818490_1, SAOUHSC_00848, new_819799_819903_1, SAOUHSC_00849, SAOUHSC_00850, new_821609_821758_1, SAOUHSC_00851, new_823157_823252_1",NC_007795,817531,823209,"SAOUHSC_00849,SAOUHSC_00847,SAOUHSC_00851,SAOUHSC_00848",NCTC8325_operons,"sufS,sufC,sufB,sufD"
3,TU-U442,"mnhA, mnhB, mnhC, mnhD, mnhE, mnhF, mnhG","SAOUHSC_00889, SAOUHSC_00888, SAOUHSC_00887, SAOUHSC_00886, SAOUHSC_00885, SAOUHSC_00884, SAOUHSC_00883",NC_007795,853990,848173,"SAOUHSC_00885,U442,SAOUHSC_00888","NCTC8325_operons,promoter","mnhE,mnhB"
3,TU-U45,"S37, capA, capB, capC, capD, capE, capF, capG, capH, capI, capJ, capK, capL, capM, capN","new_119358_119437_1, SAOUHSC_00114, SAOUHSC_00115, SAOUHSC_00116, SAOUHSC_00117, SAOUHSC_00118, SAOUHSC_00119, SAOUHSC_00120, SAOUHSC_00121, SAOUHSC_00122, SAOUHSC_00123, SAOUHSC_00124, SAOUHSC_00125, SAOUHSC_00126, SAOUHSC_00127",NC_007795,119353,133604,"SAOUHSC_00117,SAOUHSC_00126,SAOUHSC_00120",NCTC8325_operons,"capM,capG"
3,TU-U46,"capA, capB, capC, capD, capE, capF, capG, capH, capI, capJ, capK, capL, capM, capN, capO, S38, capP","SAOUHSC_00114, SAOUHSC_00115, SAOUHSC_00116, SAOUHSC_00117, SAOUHSC_00118, SAOUHSC_00119, SAOUHSC_00120, SAOUHSC_00121, SAOUHSC_00122, SAOUHSC_00123, SAOUHSC_00124, SAOUHSC_00125, SAOUHSC_00126, SAOUHSC_00127, SAOUHSC_00128, new_134839_134914_1, SAOUHSC_00129",NC_007795,119439,136052,"SAOUHSC_00117,SAOUHSC_00126,SAOUHSC_00120",NCTC8325_operons,"capM,capG"
3,TU-U467,"S382, oppB, oppC, oppD, oppF, oppA","new_893929_894010_1, SAOUHSC_00923, SAOUHSC_00924, SAOUHSC_00925, SAOUHSC_00926, SAOUHSC_00927",NC_007795,893924,899709,"SAOUHSC_00926,SAOUHSC_00927",NCTC8325_operons,"opp-3F,opp-3A"
