Locus	nsub	kb	enrich	xvBF	ELAMBDA	SDLAMBDA
SAUSA300_0033	0	0.987	0	0.00330387354506456	0.140330808667406	0.00770165368356824
SAUSA300_0034	0	1.512	0	0.0050618091022443	0.140361956200814	0.00770336312654347
SAUSA300_0035	0	0.216	0	0.000722919548479695	0.14028509133922	0.00769914461921956
SAUSA300_0036	0	0.507	0	0.0016969561197584	0.140302343017455	0.00770009142806368
SAUSA300_0037	0	1.629	0	0.00545363023456957	0.140368899535282	0.00770374419152788
SAUSA300_0038	0	1.35	0	0.0045193192095212	0.140352343487006	0.00770283556033563
SAUSA300_0039	0	1.788	0	0.0059861358672606	0.140378336449901	0.0077042621095044
SAUSA300_0040	0	0.291	0	0.000973948559021665	0.140289537242245	0.00769938861984458
SAUSA300_0041	0	1.092	0	0.00365542975714561	0.140337037068156	0.00770199551146573
SAUSA300_0042	0	1.491	0	0.00499148426342799	0.140360710033979	0.0077032947342538
SAUSA300_0043	0	0.174	0	0.000582346742248774	0.140282601756635	0.00769900798562451
SAUSA300_0044	0	1.005	0	0.00336413922696011	0.140331876353991	0.00770171228048149
SAUSA300_0045	0	0.372	0	0.00124506873862629	0.140294339133999	0.00769965215789141
SAUSA300_0046	0	0.621	0	0.00207856978477139	0.140309102563602	0.00770046240635525
SAUSA300_0047	0	0.966	0	0.00323356415492526	0.140329563053663	0.00770158532162945
SAUSA300_0048	0	0.192	0	0.000642591928681213	0.140283668709799	0.00769906654228515
SAUSA300_0049	0	0.33	0	0.00110448675832231	0.140291849223123	0.00769951550628159
SAUSA300_0050	0	0.339	0	0.00113461126011316	0.140292382768017	0.00769954478836162
SAUSA300_0051	0	0.851	0	0.00284854750634622	0.140322742227289	0.00770121098015146
SAUSA300_0052	0	0.183	0	0.000612469278621575	0.140283135231193	0.00769903726384344
SAUSA300_0053	0	0.498	0	0.00166682950066388	0.140301809396765	0.00770006214182595
SAUSA300_0054	0	0.129	0	0.000431735762958851	0.140279934444817	0.00769886159786729
SAUSA300_0055	0	1.098	0	0.00367551914996511	0.140337392993455	0.00770201504540613
SAUSA300_0056	0	0.504	0	0.00168691390035747	0.140302165143417	0.00770008166596052
SAUSA300_0057	0	0.312	0	0.00104423809489163	0.140290782145551	0.00769945694279183
SAUSA300_0058	0	0.093	0	0.000311249020796822	0.140277800668337	0.00769874449167111
SAUSA300_0059	0	0.351	0	0.00117477744015559	0.140293094167497	0.00769958383148122
SAUSA300_0060	0	0.825	0	0.00276150283161769	0.140321200219288	0.00770112635146943
SAUSA300_0061	0	0.93	0	0.00311303521220907	0.140327427767112	0.00770146813255764
SAUSA300_0062	0	0.999	0	0.00334405061539655	0.140331520456663	0.00770169274807828
SAUSA300_0063	0	0.69	0	0.00230955532106236	0.140313194184273	0.00770068696321245
SAUSA300_0064	0	1.422	0	0.00476042128821064	0.140356615641689	0.00770307002528479
SAUSA300_0065	0	1.236	0	0.00413758911281548	0.140345579773958	0.00770246435335607
SAUSA300_0066	0	0.447	0	0.00149611413280581	0.140298785623145	0.00769989619068907
SAUSA300_0067	0	0.432	0	0.00144590442278059	0.140297896302777	0.00769984738289278
SAUSA300_0068	0	0.153	0	0.000512061266363162	0.140281356998474	0.00769893967064484
SAUSA300_0069	0	0.674	0	0.00225599286432043	0.140312245381433	0.00770063489089044
SAUSA300_0070	0	0.816	0	0.00273137220347053	0.140320666455199	0.00770109705735844
SAUSA300_0071	0	1.014	0	0.00339427223707389	0.140332410203411	0.00770174157927316
SAUSA300_0072	0	0.639	0	0.00213882623984318	0.140310169919906	0.0077005209851426
SAUSA300_0073	0	1.554	0	0.0052024606343366	0.140364448600832	0.007703499914764
SAUSA300_0074	0	0.957	0	0.00320343174962545	0.140329029225928	0.00770155602402653
SAUSA300_0075	0	0.768	0	0.00257067743450534	0.140317819781996	0.00770094082586771
SAUSA300_0076	0	0.768	0	0.00257067743450534	0.140317819781996	0.00770094082586771
SAUSA300_0077	0	0.636	0	0.00212878346474099	0.140309992026024	0.00770051122194856
SAUSA300_0078	0	2.025	0	0.00677993646922914	0.140392405149896	0.00770503422972606
SAUSA300_0079	0	0.546	0	0.00182750611429583	0.140304655420471	0.00770021833766702
SAUSA300_0080	0	0.093	0	0.000311249020796822	0.140277800668337	0.00769874449167111
SAUSA300_0081	0	1.752	0	0.00586556544976702	0.140376199678877	0.00770414483895861
SAUSA300_0082	0	0.453	0	0.0015161981041274	0.140299141354474	0.00769991571398083
SAUSA300_0083	0	0.756	0	0.00253050424771573	0.140317108131724	0.00770090176898548
SAUSA300_0084	0	0.261	0	0.000873536010203679	0.140287758847229	0.00769929101773897
SAUSA300_0085	0	1.068	0	0.00357507268881818	0.140335613384945	0.00770191737669994
SAUSA300_0086	0	1.335	0	0.00446909052470801	0.140351453487503	0.00770278671526792
SAUSA300_0087	0	1.203	0	0.00402709169384252	0.140343621978677	0.00770235690538131
SAUSA300_0088	0	0.102	0	0.000341370534897578	0.140278334106369	0.00769877376788583
SAUSA300_0089	0	0.933	0	0.00312307922149557	0.140327605705188	0.00770147789817852
SAUSA300_0090	0	0.297	0	0.000994031220670877	0.140289892926619	0.00769940814056196
SAUSA300_0091	0	1.221	0	0.00408736282361133	0.140344689860269	0.0077024155129965
SAUSA300_0092	0	0.462	0	0.00154632415569722	0.140299674954804	0.00769994499910492
SAUSA300_0093	0	0.861	0	0.00288202647925573	0.140323335316291	0.00770124353013923
SAUSA300_0094	0	0.534	0	0.00178733665916297	0.14030394390373	0.00770017928811305
SAUSA300_0095	0	0.744	0	0.00249033126192444	0.140316396488675	0.00770086271249879
SAUSA300_0096	0	0.603	0	0.00201831378626594	0.140308035223534	0.00770040382845854
SAUSA300_0097	0	3.153	0	0.0105591052438285	0.14045940370715	0.00770871125325323
SAUSA300_0098	0	0.483	0	0.00161661871925389	0.140300920038049	0.00770001333192506
SAUSA300_0099	0	0.987	0	0.00330387354506456	0.140330808667406	0.00770165368356824
SAUSA300_0100	0	0.771	0	0.00258072076348981	0.140317997695692	0.00770095059014993
SAUSA300_0101	0	0.771	0	0.00258072076348981	0.140317997695692	0.00770095059014993
SAUSA300_0102	0	0.771	0	0.00258072076348981	0.140317997695692	0.00770095059014993
SAUSA300_0103	0	0.768	0	0.00257067743450534	0.140317819781996	0.00770094082586771
SAUSA300_0104	0	2.199	0	0.00736277692567455	0.140402735864179	0.00770560120132839
SAUSA300_0105	0	1.179	0	0.00394673089385833	0.140342198161907	0.00770227876328314
SAUSA300_0106	1	1.389	5.01286367678821	-0.0189994498477972	0.139931902545934	0.00769135296442376
SAUSA300_0107	0	1.662	0	0.00556414735774524	0.140370858035856	0.00770385167821073
SAUSA300_0108	1	1.776	3.92053358505564	-0.0177033815698451	0.13995480001646	0.00769261152322515
SAUSA300_0109	0	0.873	0	0.00292220143137456	0.140324047029713	0.00770128259048847
SAUSA300_0110	0	1.398	0	0.00468005312131936	0.140355191561247	0.00770299186871571
SAUSA300_0111	0	0.474	0	0.00158649240211162	0.140300386428246	0.00769998404628282
SAUSA300_0112	0	1.593	0	0.00533306784154775	0.140366763051511	0.00770362693674772
SAUSA300_0113	2	1.527	9.11966947879348	-0.0422581706279743	0.139517287018243	0.00768017388079127
SAUSA300_0114	0	0.753	0	0.00252046098239589	0.140316930220255	0.00770089200482659
SAUSA300_0115	0	0.999	0	0.00334405061539655	0.140331520456663	0.00770169274807828
SAUSA300_0116	0	0.996	0	0.00333400632871417	0.140331342508711	0.00770168298191286
SAUSA300_0117	1	0.993	7.01195130620224	-0.0203254419502628	0.139908480330565	0.00769006556303391
SAUSA300_0118	0	0.921	0	0.00308290325983762	0.140326893955654	0.00770143883584819
SAUSA300_0119	0	1.011	0	0.00338422788854587	0.140332232253126	0.00770173181298452
SAUSA300_0120	0	1.755	0	0.00587561291513339	0.140376377740656	0.00770415461136682
SAUSA300_0121	0	1.257	0	0.0042079064464815	0.140346825672148	0.00770253273090115
SAUSA300_0122	0	1.737	0	0.00581532831301956	0.140375309376831	0.0077040959772836
SAUSA300_0123	2	1.851	7.5233578034131	-0.0411730100049681	0.139536400799427	0.00768122605981583
SAUSA300_0124	0	0.777	0	0.00260080745783853	0.14031835352443	0.00770097011878905
SAUSA300_0125	0	1.203	0	0.00402709169384252	0.140343621978677	0.00770235690538131
SAUSA300_0126	1	0.765	9.1017877739331	-0.0210887922694383	0.139894998369093	0.00768932452741504
SAUSA300_0127	0	0.408	0	0.00136556954430489	0.140296473413623	0.00769976929170415
SAUSA300_0128	0	0.627	0	0.00209865521946995	0.140309458347241	0.00770048193251918
SAUSA300_0129	0	0.777	0	0.00260080745783853	0.14031835352443	0.00770097011878905
SAUSA300_0130	1	0.981	7.09772441086526	-0.0203656200974365	0.13990777068883	0.00769002655759843
SAUSA300_0131	0	0.693	0	0.00231959832262874	0.140313372086217	0.00770069672685179
SAUSA300_0132	0	1.167	0	0.00390655079490898	0.140341486264332	0.00770223969282773
SAUSA300_0133	0	1.239	0	0.00414763440812749	0.140345757758045	0.00770247412150292
SAUSA300_0134	0	1.431	0	0.00479055955793228	0.140357149679337	0.00770309933440665
SAUSA300_0135	0	0.6	0	0.00200827116395885	0.140307857335078	0.0077003940655637
SAUSA300_0136	0	0.726	0	0.00243007216113256	0.140315329037615	0.00770080412851159
SAUSA300_0137	0	0.756	0	0.00253050424771573	0.140317108131724	0.00770090176898548
SAUSA300_0138	0	0.708	0	0.00236981351326904	0.140314261602807	0.00770074554541674
SAUSA300_0139	1	1.353	5.1462436415808	-0.019120003666103	0.139929772929546	0.00769123591012106
SAUSA300_0140	0	0.663	0	0.00221916888358464	0.140311593086856	0.00770059909157873
SAUSA300_0141	0	1.179	0	0.00394673089385833	0.140342198161907	0.00770227876328314
SAUSA300_0142	1	0.816	8.53292603806228	-0.0209180491792722	0.139898013845389	0.00768949027298188
SAUSA300_0143	0	0.801	0	0.00268115474091246	0.140319776857432	0.00770104823433723
SAUSA300_0144	0	0.774	0	0.0025907641052072	0.140318175609784	0.00770096035445718
SAUSA300_0145	0	0.957	0	0.00320343174962545	0.140329029225928	0.00770155602402653
SAUSA300_0146	0	1.545	0	0.0051723208121075	0.140363914507609	0.00770347060259341
SAUSA300_0147	0	1.536	0	0.00514218110356524	0.140363380418566	0.00770344129064651
SAUSA300_0148	0	0.204	0	0.000682755637626542	0.140284380020898	0.00769910558055369
SAUSA300_0149	0	0.894	0	0.00299250808393481	0.140325292545624	0.00770135094705312
SAUSA300_0150	0	0.485	0	0.00162331347246436	0.140301038618582	0.00770001983987667
SAUSA300_0151	0	2.61	0	0.0087396548938159	0.140427143761662	0.0077069407587326
SAUSA300_0152	0	0.669	0	0.00223925467025765	0.140311948883147	0.00770061861843534
SAUSA300_0153	0	0.687	0	0.00229951233313841	0.140313016282774	0.00770067719959965
SAUSA300_0154	0	0.765	0	0.0025606341191633	0.14031764186871	0.00770093106161021
SAUSA300_0155	0	1.825	0	0.00611005735527215	0.140380532643509	0.00770438264128613
SAUSA300_0156	0	1.029	0	0.00344449417525539	0.140333299961396	0.00770179041108621
SAUSA300_0157	0	1.11	0	0.00371569808748973	0.1403381048495	0.00770205411358127
SAUSA300_0158	0	1.125	0	0.00376592204293047	0.140338994679722	0.00770210294935851
SAUSA300_0159	0	0.627	0	0.00209865521946995	0.140309458347241	0.00770048193251918
SAUSA300_0160	0	1.11	0	0.00371569808748973	0.1403381048495	0.00770205411358127
SAUSA300_0161	0	1.167	0	0.00390655079490898	0.140341486264332	0.00770223969282773
SAUSA300_0162	0	1.206	0	0.00403713685091134	0.140343799957839	0.00770236667325565
SAUSA300_0163	0	1.206	0	0.00403713685091134	0.140343799957839	0.00770236667325565
SAUSA300_0164	1	0.558	12.4782574320051	-0.0217817709362862	0.139882760417482	0.00768865186875725
SAUSA300_0165	0	0.888	0	0.00297242040642232	0.140324936681674	0.00770133141648222
SAUSA300_0166	0	1.263	0	0.00422799722537093	0.140347181647092	0.00770255226756611
SAUSA300_0167	0	1.176	0	0.00393668584956686	0.140342020186832	0.00770226899563248
SAUSA300_0168	0	0.327	0	0.00109444528288805	0.140291671375739	0.00769950574563776
SAUSA300_0169	0	0.384	0	0.0012852354716415	0.140295050553282	0.00769969120210005
SAUSA300_0170	1	1.488	4.6793465370019	-0.018667917482162	0.139937759325216	0.00769167488212553
SAUSA300_0171	0	0.96	0	0.00321347587259879	0.140329207168019	0.00770156578987
SAUSA300_0172	0	0.204	0	0.000682755637626542	0.140284380020898	0.00769910558055369
SAUSA300_0173	0	0.513	0	0.00171704059584954	0.140302698766782	0.00770011095234701
SAUSA300_0174	1	0.741	9.39658251964754	-0.0211691406984755	0.139893579366423	0.00768924653197295
SAUSA300_0175	0	0.975	0	0.0032636966748214	0.140330096885443	0.00770161461945372
SAUSA300_0176	0	0.762	0	0.00255059081564468	0.14031746395592	0.0077009212973762
SAUSA300_0177	1	1.032	6.74696477428181	-0.0201948615740548	0.139910786715765	0.00769019233343134
SAUSA300_0178	0	0.36	0	0.00120490220569991	0.140293627721866	0.00769961311408059
SAUSA300_0179	1	1.026	6.78642070863433	-0.0202149510014351	0.139910431882319	0.00769017283002136
SAUSA300_0180	2	1.251	11.1316828889829	-0.0431824506404155	0.139501009038135	0.00767927780747768
SAUSA300_0181	3	7.176	2.91089784576038	-0.0471093171054235	0.139427499588029	0.00768688688046078
SAUSA300_0182	0	0.645	0	0.00215891182460837	0.140310525708923	0.00770054051160317
SAUSA300_0183	0	0.495	0	0.00165678731855223	0.140301631524152	0.00770005237979671
SAUSA300_0184	0	0.765	0	0.0025606341191633	0.14031764186871	0.00770093106161021
SAUSA300_0185	0	1.242	0	0.00415767971526293	0.140345935742594	0.00770248388967374
SAUSA300_0186	0	1.032	0	0.00345453860199996	0.140333477914302	0.00770180017752307
SAUSA300_0187	0	1.185	0	0.00396682101791157	0.140342554113411	0.00770229829865908
SAUSA300_0188	1	1.356	5.13485814679854	-0.0191099575840781	0.139929950395134	0.00769124566451154
SAUSA300_0189	0	0.498	0	0.00166682950066388	0.140301809396765	0.00770006214182595
SAUSA300_0190	0	1.641	0	0.00549381810333216	0.140369611710949	0.0077037832772469
SAUSA300_0191	3	2.046	10.2094833534587	-0.0643125812639482	0.139125034543291	0.00767021144275229
SAUSA300_0192	0	1.056	0	0.00353489445797095	0.140334901554216	0.00770187830991145
SAUSA300_0193	0	0.897	0	0.00300255194224519	0.14032547047827	0.0077013607123748
SAUSA300_0194	0	1.455	0	0.0048709288344071	0.140358573799548	0.00770317749315698
SAUSA300_0195	0	0.876	0	0.00293224520237345	0.140324224959221	0.0077012923556369
SAUSA300_0196	1	2.79	2.49565148640101	-0.014306485661109	0.140014830494005	0.00769591109668213
SAUSA300_0197	0	0.843	0	0.00282176442806303	0.140322267759693	0.00770118494035816
SAUSA300_0198	0	0.924	0	0.00309294723092535	0.140327071892377	0.00770144860139246
SAUSA300_0199	0	1.113	0	0.00372574285347582	0.140338282814645	0.00770206388068704
SAUSA300_0200	2	1.593	8.74183006535948	-0.0420371313257419	0.139521180141561	0.00768038819017585
SAUSA300_0201	0	1.479	0	0.0049512989194227	0.140359997948591	0.00770325565349256
SAUSA300_0202	0	1.164	0	0.00389650580245871	0.140341308291062	0.0077022299252765
SAUSA300_0203	1	1.776	3.92053358505564	-0.0177033815698451	0.13995480001646	0.00769261152322515
SAUSA300_0204	1	2.007	3.46929130396553	-0.0169296593448962	0.139968471070543	0.00769336295231846
SAUSA300_0205	0	0.774	0	0.0025907641052072	0.140318175609784	0.00770096035445718
SAUSA300_0206	0	0.627	0	0.00209865521946995	0.140309458347241	0.00770048193251918
SAUSA300_0207	0	0.579	0	0.00193797315978372	0.140306612128679	0.00770032572598373
SAUSA300_0208	0	1.098	0	0.00367551914996511	0.140337392993455	0.00770201504540613
SAUSA300_0209	0	1.272	0	0.00425813349238524	0.140347715612944	0.00770258157274837
SAUSA300_0210	0	1.269	0	0.00424808805792054	0.140347537623871	0.00770257180432929
SAUSA300_0211	0	0.84	0	0.00281172079712633	0.140322089835148	0.00770117517548169
SAUSA300_0212	1	1.077	6.46505816811404	-0.0200441892602612	0.139913448024039	0.00769033861216133
SAUSA300_0213	0	1.041	0	0.00348467195317426	0.140334011775869	0.00770182947698359
SAUSA300_0214	0	0.969	0	0.00324360831609738	0.140329740997086	0.00770159508754643
SAUSA300_0215	0	0.573	0	0.00191788812981031	0.140306256359508	0.0077003062006125
SAUSA300_0216	0	1.38	0	0.00461977752593157	0.140354123519878	0.00770293325233024
SAUSA300_0217	1	0.759	9.17373866542665	-0.0211088794530951	0.13989464361574	0.00768930502840542
SAUSA300_0218	0	1.557	0	0.00521250726660583	0.140364626632779	0.00770350968553722
SAUSA300_0219	0	0.969	0	0.00324360831609738	0.140329740997086	0.00770159508754643
SAUSA300_0220	0	2.25	0	0.00753361751912962	0.140405764120256	0.007705767398473
SAUSA300_0221	0	0.756	0	0.00253050424771573	0.140317108131724	0.00770090176898548
SAUSA300_0222	0	1.764	0	0.00590575538763005	0.140376911928648	0.0077041839287443
SAUSA300_0223	0	0.345	0	0.00115469432375903	0.140292738466848	0.00769956430987189
SAUSA300_0224	0	1.83	0	0.00612680364929474	0.140380829431702	0.00770439892965386
SAUSA300_0225	0	1.185	0	0.00396682101791157	0.140342554113411	0.00770229829865908
SAUSA300_0226	0	2.262	0	0.00757381583707684	0.140406476670044	0.00770580650472539
SAUSA300_0227	0	1.212	0	0.00405722720233825	0.140344155917464	0.00770238620907704
SAUSA300_0228	0	1.506	0	0.00504171622878857	0.140361600150904	0.00770334358576547
SAUSA300_0229	0	1.578	0	0.00528283404901231	0.140365872869113	0.00770357808164271
SAUSA300_0230	0	1.143	0	0.00382619120455274	0.14034006249085	0.00770216155310794
SAUSA300_0231	0	1.476	0	0.00494125261275258	0.140359819928398	0.00770324588336304
SAUSA300_0232	0	0.357	0	0.00119486060384588	0.140293449869953	0.00769960335318875
SAUSA300_0233	0	0.174	0	0.000582346742248774	0.140282601756635	0.00769900798562451
SAUSA300_0234	0	1.146	0	0.00383623611060102	0.140340240460984	0.00770217132048596
SAUSA300_0235	1	0.81	8.59613289760349	-0.0209381367913011	0.139897659076739	0.0076894707731327
SAUSA300_0236	0	1.53	0	0.00512208802820169	0.140363024361411	0.00770342174947199
SAUSA300_0237	2	0.936	14.8779223227753	-0.0442372049774349	0.139482435549474	0.00767825537057759
SAUSA300_0238	0	2.097	0	0.00702110668089517	0.140396679743839	0.00770526882854491
SAUSA300_0239	0	0.468	0	0.00156640825343857	0.140300030690633	0.00769996452264356
SAUSA300_0240	0	0.279	0	0.000933783387608855	0.140288825878787	0.00769934957870505
SAUSA300_0241	0	1.26	0	0.0042179518300145	0.140347003659372	0.00770254249922089
SAUSA300_0242	0	1.056	0	0.00353489445797095	0.140334901554216	0.00770187830991145
SAUSA300_0243	0	0.147	0	0.000491979815251398	0.140281001357376	0.00769892015230214
SAUSA300_0244	2	1.044	13.3388269100744	-0.0438755905834114	0.139488803045506	0.00767860588969812
SAUSA300_0245	0	0.675	0	0.00225934050786236	0.140312304681191	0.00770063814539085
SAUSA300_0246	0	1.026	0	0.00343444976306273	0.140333122008852	0.00770178064467425
SAUSA300_0247	2	1.695	8.21577303487767	-0.0416955131213399	0.139527197214032	0.00768071941911541
SAUSA300_0248	0	1.17	0	0.00391659580009218	0.140341664238044	0.00770224946040444
SAUSA300_0249	0	0.717	0	0.00239994278081213	0.140314795318172	0.0077007748368528
SAUSA300_0250	0	1.026	0	0.00343444976306273	0.140333122008852	0.00770178064467425
SAUSA300_0251	0	1.689	0	0.00565457159382277	0.14037246048609	0.00770393962409297
SAUSA300_0252	0	1.725	0	0.00577513882990388	0.140374597143297	0.00770405688839122
SAUSA300_0253	1	0.675	10.3153594771242	-0.0213900947173897	0.139889677257479	0.00768903205266732
SAUSA300_0254	0	1.74	0	0.0058253757147213	0.140375487436342	0.00770410574956982
SAUSA300_0255	0	0.741	0	0.00248028804662681	0.140316218579054	0.00770085294843927
SAUSA300_0256	0	0.444	0	0.00148607216442542	0.140298607758189	0.00769988642908058
SAUSA300_0257	0	0.702	0	0.00234972739917794	0.140313905794823	0.00770072601791619
SAUSA300_0258	0	0.705	0	0.00235977045076652	0.140314083698592	0.00770073578165377
SAUSA300_0259	0	0.792	0	0.00265102441653653	0.140319243104159	0.0077010189408205
SAUSA300_0260	0	1.437	0	0.00481065180201767	0.140357505706643	0.0077031188739463
SAUSA300_0261	0	0.762	0	0.00255059081564468	0.14031746395592	0.0077009212973762
SAUSA300_0262	0	0.915	0	0.00306281535495145	0.140326538083622	0.00770141930483057
SAUSA300_0263	0	0.405	0	0.00135552774054304	0.140296295554456	0.00769975953041653
SAUSA300_0264	0	0.882	0	0.00295233277893203	0.140324580819569	0.0077013118860106
SAUSA300_0265	0	0.999	0	0.00334405061539655	0.140331520456663	0.00770169274807828
SAUSA300_0266	0	0.393	0	0.00131536065464388	0.14029558412252	0.0076997204855155
SAUSA300_0267	0	0.405	0	0.00135552774054304	0.140296295554456	0.00769975953041653
SAUSA300_0268	0	1.377	0	0.00460973163762901	0.140353945514561	0.00770292348301916
SAUSA300_0269	0	0.993	0	0.00332396205385521	0.140331164561143	0.00770167321577283
SAUSA300_0270	1	0.951	7.321627389126	-0.0204660645858894	0.139905996616103	0.00768992904574052
SAUSA300_0271	0	0.66	0	0.00220912600752854	0.140311415189443	0.00770058932818752
SAUSA300_0272	0	0.921	0	0.00308290325983762	0.140326893955654	0.00770143883584819
SAUSA300_0273	1	1.167	5.96646756388931	-0.019742836122532	0.139918770944241	0.00769063118631735
SAUSA300_0274	1	1.524	4.56881079203335	-0.0185473568517409	0.139939889184673	0.00769179194978838
SAUSA300_0275	0	0.654	0	0.00218904029634359	0.140311059395866	0.00770056980147891
SAUSA300_0276	0	0.588	0	0.0019681007993313	0.1403071457859	0.00770035501422583
SAUSA300_0277	0	0.894	0	0.00299250808393481	0.140325292545624	0.00770135094705312
SAUSA300_0278	0	0.294	0	0.000983989882570313	0.140289715084221	0.00769939838019165
SAUSA300_0279	0	3.03	0	0.0101469283085862	0.140452094907249	0.0077083101307493
SAUSA300_0280	0	0.459	0	0.00153628212638068	0.140299497087586	0.007699935237372
SAUSA300_0281	0	0.243	0	0.00081328908481737	0.140286691831839	0.0076992324576625
SAUSA300_0282	0	1.335	0	0.00446909052470801	0.140351453487503	0.00770278671526792
SAUSA300_0283	0	4.44	0	0.014873157385864	0.140535924354937	0.00771291086939399
SAUSA300_0284	0	0.393	0	0.00131536065464388	0.14029558412252	0.0076997204855155
SAUSA300_0285	0	0.315	0	0.00105427950757075	0.140290959990724	0.00769946670331113
SAUSA300_0286	0	0.675	0	0.00225934050786236	0.140312304681191	0.00770063814539085
SAUSA300_0287	0	0.318	0	0.00106432093116382	0.140291137836291	0.00769947646385517
SAUSA300_0288	0	1.845	0	0.0061770427423653	0.140381719803806	0.00770444779517021
SAUSA300_0289	0	0.492	0	0.00164674515008301	0.14030145365198	0.00770004261779256
SAUSA300_0290	0	0.684	0	0.00228946935703789	0.140312838381697	0.00770066743600996
SAUSA300_0291	0	0.612	0	0.00204844172958474	0.140308568891519	0.007700433117295
SAUSA300_0292	0	0.219	0	0.000732960557343176	0.140285269169925	0.00769915437894678
SAUSA300_0293	0	0.501	0	0.00167687169368946	0.140301987269885	0.00770007190388125
SAUSA300_0294	0	0.501	0	0.00167687169368946	0.140301987269885	0.00770007190388125
SAUSA300_0295	0	0.387	0	0.00129527718627287	0.140295228409281	0.00769970096321356
SAUSA300_0296	0	0.492	0	0.00164674515008301	0.14030145365198	0.00770004261779256
SAUSA300_0297	0	0.684	0	0.00228946935703789	0.140312838381697	0.00770066743600996
SAUSA300_0298	0	0.501	0	0.00167687169368946	0.140301987269885	0.00770007190388125
SAUSA300_0299	0	0.501	0	0.00167687169368946	0.140301987269885	0.00770007190388125
SAUSA300_0300	0	0.501	0	0.00167687169368946	0.140301987269885	0.00770007190388125
SAUSA300_0301	0	0.501	0	0.00167687169368946	0.140301987269885	0.00770007190388125
SAUSA300_0302	0	0.489	0	0.00163670299343721	0.140301275780224	0.00770003285581231
SAUSA300_0303	1	0.375	18.5676470588235	-0.0223943542659981	0.139871943141772	0.00768805729751221
SAUSA300_0304	0	0.399	0	0.00133544417212761	0.140295939837627	0.00769974000791768
SAUSA300_0305	0	0.696	0	0.00232964133510905	0.140313549988624	0.0077007064905154
SAUSA300_0306	0	1.278	0	0.00427822439769443	0.140348071592386	0.00770260110966011
SAUSA300_0307	0	0.891	0	0.00298246423926685	0.140325114613441	0.0077013411817553
SAUSA300_0308	0	1.05	0	0.0035148054171259	0.140334545641512	0.00770185877666563
SAUSA300_0309	0	0.678	0	0.00226938344485461	0.140312482580917	0.00770064790890541
SAUSA300_0310	0	1.032	0	0.00345453860199996	0.140333477914302	0.00770180017752307
SAUSA300_0311	0	1.119	0	0.00374583242273729	0.140338638746259	0.00770208341497367
