User: USER,,,,,
Path: C:\Program Files\BMG\CLARIOstar\User\Data\,,,,,
Test ID: 6964,,,,,
Test Name: LDH,,,,,
Date: 31/08/2019,,,,,
Time: 3:52:03 PM,,,,,
ID1: LDH assay 24h VANANZ Plate 2 190831 HeLa post-PI cell death assay,,,,,
ID2: Staph infection,,,,,
ID3: 190831,,,,,
Absorbance,,,Absorbance values are displayed as OD,,
D,5,Sample X41,0.51200000000000001,-0.002,-0.002
D,6,Sample X42,0.52800000000000002,0.013,0.013
D,7,Sample X43,1.82,1.3049999999999999,1.3049999999999999
D,8,Sample X44,0.53200000000000003,0.017,0.017
D,9,Sample X45,1.917,1.4019999999999999,1.4019999999999999
D,10,Sample X46,0.9,0.38600000000000001,0.38600000000000001
D,11,Sample X47,0.78400000000000003,0.26900000000000002,0.26900000000000002
D,12,Sample X48,1.177,0.66300000000000003,0.66300000000000003
E,1,Sample X49,1.51,0.995,0.995
E,2,Sample X50,2.1280000000000001,1.6140000000000001,1.6140000000000001
E,3,Sample X51,0.78600000000000003,0.27200000000000002,0.27200000000000002
E,4,Sample X52,0.84499999999999997,0.33100000000000002,0.33100000000000002
E,5,Sample X53,0.48399999999999999,-0.031,-0.031
E,6,Sample X54,2.11,1.595,1.595
E,8,Sample X56,0.69899999999999995,0.184,0.184
E,9,Sample X57,1.9450000000000001,1.43,1.43
E,10,Sample X58,0.57699999999999996,0.062,0.062
E,11,Sample X59,1.962,1.4470000000000001,1.4470000000000001
E,12,Sample X60,1.046,0.53200000000000003,0.53200000000000003
F,1,Sample X61,1.087,0.57199999999999995,0.57199999999999995
F,2,Sample X62,0.82399999999999995,0.309,0.309
F,3,Sample X63,1.3049999999999999,0.79100000000000004,0.79100000000000004
F,4,Sample X64,0.93799999999999994,0.42399999999999999,0.42399999999999999
F,5,Sample X65,1.216,0.70099999999999996,0.70099999999999996
F,6,Sample X66,1.302,0.78700000000000003,0.78700000000000003
F,7,Sample X67,1.18,0.66500000000000004,0.66500000000000004
F,8,Sample X68,0.69399999999999995,0.17899999999999999,0.17899999999999999
F,9,Sample X69,1.883,1.3680000000000001,1.3680000000000001
F,10,Sample X70,1.4319999999999999,0.91700000000000004,0.91700000000000004
F,11,Sample X71,1.377,0.86199999999999999,0.86199999999999999
F,12,Sample X72,1.6379999999999999,1.1240000000000001,1.1240000000000001
G,1,Sample X73,1.23,0.71499999999999997,0.71499999999999997
G,2,Sample X74,1.075,0.56000000000000005,0.56000000000000005
G,3,Sample X75,1.8109999999999999,1.296,1.296
G,4,Sample X76,0.49099999999999999,-0.023,-0.023
G,5,Sample X77,1.0469999999999999,0.53200000000000003,0.53200000000000003
G,6,Sample X78,1.2749999999999999,0.76,0.76
G,7,Sample X79,0.49099999999999999,-0.023,-0.023
G,8,Sample X80,0.70099999999999996,0.186,0.186
G,9,Sample X81,1.3979999999999999,0.88400000000000001,0.88400000000000001
G,10,Sample X82,1.07,0.55500000000000005,0.55500000000000005
G,11,Sample X83,1.744,1.2290000000000001,1.2290000000000001
G,12,Sample X84,1.91,1.395,1.395
H,2,Sample X86,0.54200000000000004,0.027,0.027
H,3,Sample X87,1.865,1.35,1.35
H,4,Sample X88,1.903,1.3879999999999999,1.3879999999999999
H,5,Sample X89,1.024,0.50900000000000001,0.50900000000000001
H,6,Sample X90,0.52700000000000002,0.012,0.012
H,7,Sample X91,0.76900000000000002,0.255,0.255
H,8,Sample X92,0.81100000000000005,0.29699999999999999,0.29699999999999999
H,9,Sample X93,0.72099999999999997,0.20599999999999999,0.20599999999999999
