variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	notes
EW033_RS00630	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00640	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00645	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00650	1.61E-01	8.23E-01	8.37E-01	-8.78E-02	4.24E-01	-3.18E-01		
EW033_RS00655	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS00660	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00665	4.82E-01	4.11E-02	3.98E-02	6.31E-01	3.00E-01	-6.36E-01		
EW033_RS00670	2.86E-01	9.49E-02	6.94E-02	6.19E-01	3.34E-01	-5.09E-01		
EW033_RS00675	4.82E-01	7.37E-03	7.23E-03	8.13E-01	2.91E-01	-7.24E-01		
EW033_RS00680	3.93E-01	1.03E-01	9.36E-02	5.30E-01	3.11E-01	-5.40E-01		
EW033_RS00685	3.04E-01	6.91E-02	6.05E-02	6.28E-01	3.28E-01	-5.23E-01		
EW033_RS00690	6.96E-01	1.76E-01	1.95E-01	4.37E-01	3.33E-01	-6.36E-01		
EW033_RS00700	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00705	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00710	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00715	4.11E-01	3.65E-02	3.22E-02	6.67E-01	3.03E-01	-6.06E-01		
EW033_RS00720	3.21E-01	2.94E-01	2.73E-01	-3.65E-01	3.30E-01	-2.14E-01		
EW033_RS00725	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00730	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00735	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00740	5.36E-01	2.33E-02	2.32E-02	6.95E-01	2.98E-01	-7.04E-01		
EW033_RS00745	5.18E-01	1.55E-02	1.56E-02	7.37E-01	2.95E-01	-7.14E-01		
EW033_RS00750	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00755	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00760	7.68E-01	1.04E-01	1.46E-01	5.34E-01	3.62E-01	-7.42E-01		
EW033_RS00770	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS00775	7.14E-02	4.38E-01	2.21E-01	7.38E-01	5.96E-01	-3.85E-01		
EW033_RS00780	7.14E-02	9.80E-01	9.76E-01	1.84E-02	6.05E-01	-3.33E-01		
EW033_RS00785	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00790	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS00795	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS00800	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00805	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS00820	3.57E-01	1.09E-02	8.36E-03	8.34E-01	3.05E-01	-6.30E-01		
EW033_RS00830	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00835	5.71E-01	5.57E-02	6.59E-02	5.72E-01	3.05E-01	-6.59E-01		
EW033_RS00840	1.43E-01	5.95E-01	6.19E-01	2.22E-01	4.44E-01	-3.64E-01		
EW033_RS00850	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00855	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS00860	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS00865	1.43E-01	1.89E-01	1.60E-01	6.22E-01	4.37E-01	-4.21E-01		
EW033_RS00870	7.86E-01	1.16E-01	1.48E-01	5.47E-01	3.72E-01	-7.61E-01		
EW033_RS00875	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00885	1.43E-01	5.27E-02	8.36E-02	7.63E-01	4.33E-01	-4.41E-01		
EW033_RS00890	6.96E-01	1.37E-02	2.75E-02	7.34E-01	3.24E-01	-8.43E-01		
EW033_RS00895	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS00900	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS00905	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS00910	4.29E-01	1.20E-02	1.14E-02	7.77E-01	2.96E-01	-6.65E-01		
EW033_RS00915	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS00920	4.29E-01	1.20E-02	1.14E-02	7.77E-01	2.96E-01	-6.65E-01		
EW033_RS00925	4.64E-01	3.72E-02	3.58E-02	6.45E-01	3.00E-01	-6.31E-01		
EW033_RS00960	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00965	4.82E-01	3.46E-02	3.36E-02	6.51E-01	2.99E-01	-6.46E-01		
EW033_RS00970	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00975	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00980	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00985	3.93E-01	1.17E-02	1.02E-02	7.98E-01	3.00E-01	-6.45E-01		
EW033_RS00990	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS00995	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01000	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS01005	2.86E-01	7.88E-03	5.27E-03	9.32E-01	3.21E-01	-5.98E-01		
EW033_RS01010	3.93E-01	7.07E-02	6.52E-02	5.82E-01	3.09E-01	-5.60E-01		
EW033_RS01015	5.18E-01	3.80E-02	3.96E-02	6.32E-01	3.00E-01	-6.59E-01		
EW033_RS01020	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS01025	4.29E-01	1.60E-02	1.55E-02	7.45E-01	2.98E-01	-6.51E-01		
EW033_RS01030	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01035	4.29E-01	3.31E-02	3.00E-02	6.71E-01	3.01E-01	-6.20E-01		
EW033_RS01040	4.29E-01	3.31E-02	3.00E-02	6.71E-01	3.01E-01	-6.20E-01		
EW033_RS01045	6.96E-01	1.14E-01	1.42E-01	4.95E-01	3.32E-01	-6.76E-01		
EW033_RS01060	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01065	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01070	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS01075	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS01080	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01085	4.82E-01	6.77E-03	6.63E-03	8.22E-01	2.91E-01	-7.28E-01		
EW033_RS01090	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01100	3.93E-01	1.17E-02	1.02E-02	7.98E-01	3.00E-01	-6.45E-01		
EW033_RS01105	7.86E-01	7.64E-02	1.06E-01	6.08E-01	3.70E-01	-8.10E-01		
EW033_RS01110	7.86E-01	5.24E-02	9.38E-02	6.31E-01	3.70E-01	-8.27E-01		
EW033_RS01115	1.79E-01	2.09E-01	2.00E-01	5.19E-01	4.00E-01	-4.25E-01		
EW033_RS01120	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01125	1.79E-01	9.83E-01	9.83E-01	8.84E-03	4.07E-01	-3.33E-01		
EW033_RS01135	5.00E-01	2.91E-02	2.91E-02	6.68E-01	2.98E-01	-6.66E-01		
EW033_RS01140	8.93E-02	8.51E-01	8.46E-01	1.06E-01	5.46E-01	-3.41E-01		
EW033_RS01145	7.86E-01	1.16E-01	1.48E-01	5.47E-01	3.72E-01	-7.61E-01		
EW033_RS01150	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01155	6.43E-01	1.72E-01	1.77E-01	4.37E-01	3.20E-01	-6.13E-01		
EW033_RS01160	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01165	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS01170	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS01175	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01180	2.50E-01	2.57E-02	3.33E-02	7.53E-01	3.45E-01	-5.20E-01		
EW033_RS01185	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS01190	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01195	2.86E-01	5.41E-01	5.18E-01	2.23E-01	3.43E-01	-3.96E-01		
EW033_RS01200	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS01205	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS01210	3.93E-01	1.03E-01	9.36E-02	5.30E-01	3.11E-01	-5.40E-01		
EW033_RS01220	7.14E-02	9.80E-01	9.76E-01	1.84E-02	6.05E-01	-3.33E-01		
EW033_RS01225	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01230	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01235	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01245	1.07E-01	6.30E-01	6.30E-01	-2.43E-01	5.02E-01	-3.06E-01		
EW033_RS01250	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01255	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01260	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01265	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01270	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01275	4.82E-01	2.00E-02	1.97E-02	7.12E-01	2.96E-01	-6.75E-01		
EW033_RS01280	3.57E-01	4.84E-02	5.52E-02	6.15E-01	3.14E-01	-5.52E-01		
EW033_RS01285	2.86E-01	3.68E-02	3.98E-02	6.98E-01	3.31E-01	-5.31E-01		
EW033_RS01290	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01300	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01305	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS01310	4.29E-01	3.31E-02	3.00E-02	6.71E-01	3.01E-01	-6.20E-01		
EW033_RS01320	3.93E-01	5.44E-02	5.78E-02	5.98E-01	3.08E-01	-5.67E-01		
EW033_RS01325	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01330	2.14E-01	6.43E-01	6.58E-01	1.69E-01	3.79E-01	-3.68E-01		
EW033_RS01335	2.86E-01	4.36E-01	4.25E-01	2.75E-01	3.43E-01	-4.11E-01		
EW033_RS01345	6.79E-01	2.87E-01	2.94E-01	3.50E-01	3.30E-01	-5.69E-01		
EW033_RS01350	5.36E-01	3.28E-02	3.28E-02	6.56E-01	2.99E-01	-6.83E-01		
EW033_RS01355	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01360	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS01365	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01370	1.07E-01	9.99E-01	9.99E-01	8.00E-04	5.04E-01	-3.32E-01		
EW033_RS01375	3.57E-01	3.18E-02	2.59E-02	7.11E-01	3.10E-01	-5.86E-01		
EW033_RS01380	9.29E-01	4.26E-01	5.28E-01	3.83E-01	6.02E-01	-6.88E-01		
EW033_RS01390	7.32E-01	8.91E-02	1.26E-01	5.35E-01	3.44E-01	-7.24E-01		
EW033_RS01395	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01400	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01405	5.18E-01	5.10E-03	5.11E-03	8.45E-01	2.90E-01	-7.70E-01		
EW033_RS01415	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01420	7.14E-02	9.80E-01	9.76E-01	1.84E-02	6.05E-01	-3.33E-01		
EW033_RS01425	1.43E-01	4.16E-01	3.68E-01	4.01E-01	4.42E-01	-3.89E-01		
EW033_RS01430	1.07E-01	9.99E-01	9.99E-01	8.00E-04	5.04E-01	-3.32E-01		
EW033_RS01435	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS01440	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01445	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01450	3.57E-01	3.18E-02	2.59E-02	7.11E-01	3.10E-01	-5.86E-01		
EW033_RS01455	3.57E-02	9.83E-01	9.66E-01	3.63E-02	8.39E-01	-3.33E-01		
EW033_RS01460	3.57E-02	2.16E-01	3.49E-01	7.86E-01	8.32E-01	-3.60E-01		
EW033_RS01470	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01480	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01485	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01495	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01500	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01505	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01510	1.07E-01	9.99E-01	9.99E-01	8.00E-04	5.04E-01	-3.32E-01		
EW033_RS01515	2.50E-01	8.54E-02	6.05E-02	6.67E-01	3.48E-01	-4.99E-01		
EW033_RS01520	3.57E-01	1.01E-01	9.06E-02	5.45E-01	3.16E-01	-5.27E-01		
EW033_RS01525	7.14E-02	1.09E-02	1.02E-01	9.81E-01	5.90E-01	-4.02E-01		
EW033_RS01530	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS01535	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01545	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01550	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01555	5.00E-01	2.91E-02	2.91E-02	6.68E-01	2.98E-01	-6.66E-01		
EW033_RS01560	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01565	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS01570	1.07E-01	9.99E-01	9.99E-01	8.00E-04	5.04E-01	-3.32E-01		
EW033_RS01580	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01590	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01595	7.86E-01	6.15E-02	8.61E-02	6.46E-01	3.69E-01	-8.39E-01		
EW033_RS01685	4.46E-01	6.39E-03	5.80E-03	8.38E-01	2.92E-01	-7.06E-01		
EW033_RS01690	5.18E-01	3.21E-02	3.26E-02	6.55E-01	2.99E-01	-6.71E-01		
EW033_RS01695	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01705	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01710	8.93E-02	8.51E-01	8.46E-01	1.06E-01	5.46E-01	-3.41E-01		
EW033_RS01715	5.71E-01	9.99E-02	1.06E-01	5.05E-01	3.07E-01	-6.20E-01		
EW033_RS01720	3.21E-01	2.97E-01	2.79E-01	3.60E-01	3.30E-01	-4.48E-01		
EW033_RS01725	2.50E-01	2.49E-02	2.50E-02	7.91E-01	3.43E-01	-5.30E-01		
EW033_RS01730	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS01735	3.57E-01	1.02E-02	9.27E-03	8.23E-01	3.05E-01	-6.26E-01		
EW033_RS01740	3.21E-01	2.97E-01	2.79E-01	3.60E-01	3.30E-01	-4.48E-01		
EW033_RS01745	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS01750	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01755	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS01760	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS01765	1.43E-01	1.55E-01	7.26E-02	7.91E-01	4.32E-01	-4.45E-01		
EW033_RS01770	3.57E-01	3.18E-02	2.59E-02	7.11E-01	3.10E-01	-5.86E-01		
EW033_RS01775	1.07E-01	9.65E-01	9.59E-01	2.58E-02	5.04E-01	-3.35E-01		
EW033_RS01780	3.93E-01	1.03E-01	9.36E-02	5.30E-01	3.11E-01	-5.40E-01		
EW033_RS01785	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS01790	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS01930	7.14E-02	3.45E-01	2.32E-01	7.21E-01	5.97E-01	-3.83E-01		
EW033_RS02115	2.14E-01	6.43E-01	6.58E-01	1.69E-01	3.79E-01	-3.68E-01		
EW033_RS02120	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS02125	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS02130	2.86E-01	7.88E-03	5.27E-03	9.32E-01	3.21E-01	-5.98E-01		
EW033_RS02135	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS02140	7.14E-02	9.80E-01	9.76E-01	1.84E-02	6.05E-01	-3.33E-01		
EW033_RS02145	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS02150	4.64E-01	1.20E-02	1.15E-02	7.70E-01	2.94E-01	-6.89E-01		
EW033_RS02155	7.14E-01	7.50E-02	1.13E-01	5.42E-01	3.37E-01	-7.19E-01		
EW033_RS02165	3.57E-01	1.09E-02	8.36E-03	8.34E-01	3.05E-01	-6.30E-01		
EW033_RS02170	1.07E-01	5.58E-01	5.58E-01	2.96E-01	5.02E-01	-3.64E-01		
EW033_RS02175	2.86E-01	2.71E-01	2.78E-01	3.73E-01	3.41E-01	-4.39E-01		
EW033_RS02180	4.82E-01	4.28E-03	4.30E-03	8.61E-01	2.89E-01	-7.47E-01		
EW033_RS02190	3.57E-02	2.16E-01	3.49E-01	7.86E-01	8.32E-01	-3.60E-01		
EW033_RS02195	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02200	4.64E-01	4.66E-02	4.70E-02	6.12E-01	3.01E-01	-6.16E-01		
EW033_RS02205	4.29E-01	7.75E-01	7.76E-01	-9.00E-02	3.14E-01	-2.93E-01		
EW033_RS02210	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02215	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02220	3.21E-01	2.39E-01	2.58E-01	3.77E-01	3.29E-01	-4.53E-01		
EW033_RS02225	7.86E-01	1.16E-01	1.48E-01	5.47E-01	3.72E-01	-7.61E-01		
EW033_RS02235	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02240	7.86E-01	1.16E-01	1.48E-01	5.47E-01	3.72E-01	-7.61E-01		
EW033_RS02245	4.29E-01	4.67E-02	5.09E-02	6.06E-01	3.04E-01	-5.92E-01		
EW033_RS02250	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02255	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02260	3.57E-02	2.16E-01	3.49E-01	7.86E-01	8.32E-01	-3.60E-01		
EW033_RS02265	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02270	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS02275	5.18E-01	3.21E-02	3.26E-02	6.55E-01	2.99E-01	-6.71E-01		
EW033_RS02280	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02285	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02290	5.71E-01	4.42E-02	4.51E-02	6.22E-01	3.03E-01	-6.87E-01		
EW033_RS02295	3.93E-01	8.28E-03	7.59E-03	8.28E-01	2.98E-01	-6.57E-01		
EW033_RS02300	3.21E-01	1.37E-01	1.70E-01	4.56E-01	3.28E-01	-4.78E-01		
EW033_RS02305	5.18E-01	5.10E-03	5.11E-03	8.45E-01	2.90E-01	-7.70E-01		
EW033_RS02310	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02315	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS02320	3.57E-01	1.54E-01	1.76E-01	4.38E-01	3.19E-01	-4.88E-01		
EW033_RS02325	2.86E-01	2.71E-01	2.78E-01	3.73E-01	3.41E-01	-4.39E-01		
EW033_RS02330	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02335	3.21E-01	2.39E-01	2.58E-01	3.77E-01	3.29E-01	-4.53E-01		
EW033_RS02340	2.86E-01	4.23E-01	4.34E-01	2.70E-01	3.43E-01	-4.09E-01		
EW033_RS02345	3.21E-01	9.97E-01	9.97E-01	1.36E-03	3.33E-01	-3.32E-01		
EW033_RS02350	1.07E-01	1.24E-01	1.17E-01	7.83E-01	4.92E-01	-4.16E-01		
EW033_RS02365	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02380	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02385	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02390	4.82E-01	2.16E-02	2.12E-02	7.04E-01	2.97E-01	-6.71E-01		
EW033_RS02395	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS02400	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
