well,sample_id,replicate,plate_number
F06,BPH2811,1,4
F07,BPH2800,3,4
F08,BPH2788,3,4
F09,BPH2790,1,4
F10,BPH2801,2,4
F11,Blank,3,4
F12,Non infected,2,4
G01,BPH2798,2,4
G02,BPH2810,2,4
G03,BPH2787,3,4
G04,BPH2794,2,4
G05,BPH2811,3,4
G06,BPH2800,1,4
G07,BPH2795,1,4
G08,BPH2788,1,4
G09,BPH2801,1,4
G10,BPH2793,2,4
G11,BPH2785,3,4
G12,BPH2803,3,4
H01,TOX-4,2,4
H02,BPH2794,3,4
H03,BPH2787,2,4
H04,BPH2789,3,4
H05,BPH2793,3,4
H06,BPH2791,1,4
H07,BPH2786,2,4
H08,BPH2802,2,4
H09,BPH2786,1,4
H10,Total LDH,1,4
H11,Total LDH,2,4
H12,Total LDH,3,4
A01,BPH2835,2,5
A02,BPH2824,3,5
A03,BPH2812,1,5
A04,BPH2823,1,5
A05,TOX-4,3,5
A06,BPH2827,1,5
A07,BPH2816,2,5
A08,Non infected,1,5
A09,BPH2832,2,5
A10,BPH2829,3,5
A11,BPH2818,3,5
A12,BPH2830,3,5
B01,BPH2837,2,5
B02,BPH2814,1,5
B03,BPH2837,1,5
B04,BPH2824,1,5
B05,BPH2838,3,5
B06,TOX-5,3,5
B07,BPH2827,2,5
B08,BPH2822,3,5
B09,BPH2823,2,5
B10,BPH2836,1,5
B11,BPH2825,3,5
B12,BPH2824,2,5
C01,BPH2818,2,5
C02,BPH2821,1,5
C03,BPH2835,3,5
C04,BPH2837,3,5
C05,BPH2825,1,5
C06,BPH2834,3,5
C07,BPH2820,1,5
C08,BPH2831,1,5
C09,BPH2831,2,5
C10,BPH2813,3,5
C11,BPH2832,1,5
C12,Blank,2,5
D01,Non infected,3,5
D02,BPH2836,2,5
D03,BPH2832,3,5
D04,BPH2819,3,5
D05,BPH2822,2,5
D06,TOX-5,2,5
D07,BPH2812,2,5
D08,BPH2827,3,5
D09,BPH2817,3,5
D10,BPH2819,1,5
D11,BPH2830,1,5
D12,BPH2836,3,5
E01,Blank,1,5
E02,BPH2834,2,5
E03,BPH2833,2,5
E04,BPH2819,2,5
E05,TOX-5,1,5
E06,BPH2834,1,5
E07,TOX-4,1,5
E08,BPH2815,2,5
E09,BPH2817,2,5
E10,BPH2823,3,5
E11,BPH2816,1,5
E12,BPH2833,3,5
F01,BPH2838,1,5
F02,BPH2833,1,5
F03,BPH2828,2,5
F04,BPH2835,1,5
F05,BPH2839,2,5
F06,BPH2839,1,5
F07,BPH2828,3,5
F08,BPH2815,3,5
F09,BPH2817,1,5
F10,BPH2829,2,5
F11,Blank,3,5
F12,Non infected,2,5
G01,BPH2825,2,5
G02,BPH2838,2,5
G03,BPH2814,3,5
G04,BPH2821,2,5
G05,BPH2839,3,5
G06,BPH2828,1,5
G07,BPH2822,1,5
G08,BPH2815,1,5
G09,BPH2829,1,5
G10,BPH2820,2,5
G11,BPH2812,3,5
G12,BPH2831,3,5
H01,TOX-4,2,5
H02,BPH2821,3,5
H03,BPH2814,2,5
H04,BPH2816,3,5
H05,BPH2820,3,5
H06,BPH2818,1,5
H07,BPH2813,2,5
H08,BPH2830,2,5
H09,BPH2813,1,5
H10,Total LDH,1,5
H11,Total LDH,2,5
H12,Total LDH,3,5
A01,BPH2862,2,6
A02,BPH2852,3,6
A03,BPH2840,1,6
A04,BPH2851,1,6
A05,Non infected,3,6
A06,BPH2854,1,6
A07,BPH2844,2,6
A08,BPH2867,1,6
A09,BPH2859,2,6
A10,BPH2856,3,6
A11,BPH2846,3,6
A12,BPH2857,3,6
B01,BPH2864,2,6
B02,BPH2842,1,6
B03,BPH2864,1,6
B04,BPH2852,1,6
B05,BPH2865,3,6
B06,TOX-4,3,6
B07,BPH2854,2,6
B08,BPH2850,3,6
B09,BPH2851,2,6
B10,BPH2863,1,6
B11,BPH2853,3,6
B12,BPH2852,2,6
C01,BPH2846,2,6
C02,BPH2849,1,6
C03,BPH2862,3,6
C04,BPH2864,3,6
C05,BPH2853,1,6
C06,BPH2861,3,6
C07,BPH2848,1,6
C08,BPH2858,1,6
C09,BPH2858,2,6
C10,BPH2841,3,6
C11,BPH2859,1,6
C12,TOX-5,2,6
D01,BPH2867,3,6
D02,BPH2863,2,6
D03,BPH2859,3,6
D04,BPH2847,3,6
D05,BPH2850,2,6
D06,TOX-4,2,6
D07,BPH2840,2,6
D08,BPH2854,3,6
D09,BPH2845,3,6
D10,BPH2847,1,6
D11,BPH2857,1,6
D12,BPH2863,3,6
E01,TOX-5,1,6
E02,BPH2861,2,6
E03,BPH2860,2,6
E04,BPH2847,2,6
E05,TOX-4,1,6
E06,BPH2861,1,6
E07,Non infected,1,6
E08,BPH2843,2,6
E09,BPH2845,2,6
E10,BPH2851,3,6
E11,BPH2844,1,6
E12,BPH2860,3,6
F01,BPH2865,1,6
F02,BPH2860,1,6
F03,BPH2855,2,6
F04,BPH2862,1,6
F05,BPH2866,2,6
F06,BPH2866,1,6
F07,BPH2855,3,6
F08,BPH2843,3,6
F09,BPH2845,1,6
F10,BPH2856,2,6
F11,TOX-5,3,6
F12,BPH2867,2,6
G01,BPH2853,2,6
G02,BPH2865,2,6
G03,BPH2842,3,6
G04,BPH2849,2,6
G05,BPH2866,3,6
G06,BPH2855,1,6
G07,BPH2850,1,6
G08,BPH2843,1,6
G09,BPH2856,1,6
G10,BPH2848,2,6
G11,BPH2840,3,6
G12,BPH2858,3,6
H01,Non infected,2,6
H02,BPH2849,3,6
H03,BPH2842,2,6
H04,BPH2844,3,6
H05,BPH2848,3,6
H06,BPH2846,1,6
H07,BPH2841,2,6
H08,BPH2857,2,6
H09,BPH2841,1,6
H10,Total LDH,1,6
H11,Total LDH,2,6
H12,Total LDH,3,6
A01,BPH2890,2,7
A02,BPH2880,3,7
A03,BPH2868,1,7
A04,BPH2879,1,7
A05,Non infected,3,7
A06,BPH2882,1,7
A07,BPH2872,2,7
A08,BPH2895,1,7
A09,BPH2887,2,7
A10,BPH2884,3,7
A11,BPH2874,3,7
A12,BPH2885,3,7
B01,BPH2892,2,7
B02,BPH2870,1,7
B03,BPH2892,1,7
B04,BPH2880,1,7
B05,BPH2893,3,7
B06,TOX-4,3,7
B07,BPH2882,2,7
B08,BPH2878,3,7
B09,BPH2879,2,7
B10,BPH2891,1,7
B11,BPH2881,3,7
B12,BPH2880,2,7
C01,BPH2874,2,7
C02,BPH2877,1,7
C03,BPH2890,3,7
C04,BPH2892,3,7
C05,BPH2881,1,7
C06,BPH2889,3,7
C07,BPH2876,1,7
C08,BPH2886,1,7
C09,BPH2886,2,7
C10,BPH2869,3,7
C11,BPH2887,1,7
C12,TOX-5,2,7
D01,BPH2895,3,7
D02,BPH2891,2,7
D03,BPH2887,3,7
D04,BPH2875,3,7
D05,BPH2878,2,7
D06,TOX-4,2,7
D07,BPH2868,2,7
D08,BPH2882,3,7
D09,BPH2873,3,7
D10,BPH2875,1,7
D11,BPH2885,1,7
D12,BPH2891,3,7
E01,TOX-5,1,7
E02,BPH2889,2,7
E03,BPH2888,2,7
E04,BPH2875,2,7
E05,TOX-4,1,7
E06,BPH2889,1,7
E07,Non infected,1,7
E08,BPH2871,2,7
E09,BPH2873,2,7
E10,BPH2879,3,7
E11,BPH2872,1,7
E12,BPH2888,3,7
F01,BPH2893,1,7
F02,BPH2888,1,7
F03,BPH2883,2,7
F04,BPH2890,1,7
F05,BPH2894,2,7
F06,BPH2894,1,7
F07,BPH2883,3,7
F08,BPH2871,3,7
F09,BPH2873,1,7
F10,BPH2884,2,7
F11,TOX-5,3,7
F12,BPH2895,2,7
G01,BPH2881,2,7
G02,BPH2893,2,7
G03,BPH2870,3,7
G04,BPH2877,2,7
G05,BPH2894,3,7
G06,BPH2883,1,7
G07,BPH2878,1,7
G08,BPH2871,1,7
G09,BPH2884,1,7
G10,BPH2876,2,7
G11,BPH2868,3,7
G12,BPH2886,3,7
H01,Non infected,2,7
H02,BPH2877,3,7
H03,BPH2870,2,7
H04,BPH2872,3,7
H05,BPH2876,3,7
H06,BPH2874,1,7
H07,BPH2869,2,7
H08,BPH2885,2,7
H09,BPH2869,1,7
H10,Total LDH,1,7
H11,Total LDH,2,7
H12,Total LDH,3,7
A01,BPH2918,2,8
A02,BPH2908,3,8
A03,BPH2896,1,8
A04,BPH2907,1,8
A05,TOX-5,3,8
A06,BPH2910,1,8
A07,BPH2900,2,8
A08,TOX-4,1,8
A09,BPH2915,2,8
A10,BPH2912,3,8
A11,BPH2902,3,8
A12,BPH2913,3,8
B01,BPH2920,2,8
B02,BPH2898,1,8
B03,BPH2920,1,8
B04,BPH2908,1,8
B05,BPH2921,3,8
B06,Blank,3,8
B07,BPH2910,2,8
B08,BPH2906,3,8
B09,BPH2907,2,8
B10,BPH2919,1,8
B11,BPH2909,3,8
B12,BPH2908,2,8
C01,BPH2902,2,8
C02,BPH2905,1,8
C03,BPH2918,3,8
C04,BPH2920,3,8
C05,BPH2909,1,8
C06,BPH2917,3,8
C07,BPH2904,1,8
C08,BPH2914,1,8
C09,BPH2914,2,8
C10,BPH2897,3,8
C11,BPH2915,1,8
C12,Blank,2,8
D01,TOX-4,3,8
D02,BPH2919,2,8
D03,BPH2915,3,8
D04,BPH2903,3,8
D05,BPH2906,2,8
D06,Blank,2,8
D07,BPH2896,2,8
D08,BPH2910,3,8
D09,BPH2901,3,8
D10,BPH2903,1,8
D11,BPH2913,1,8
D12,BPH2919,3,8
E01,Blank,1,8
E02,BPH2917,2,8
E03,BPH2916,2,8
E04,BPH2903,2,8
E05,Blank,1,8
E06,BPH2917,1,8
E07,TOX-5,1,8
E08,BPH2899,2,8
E09,BPH2901,2,8
E10,BPH2907,3,8
E11,BPH2900,1,8
E12,BPH2916,3,8
F01,BPH2921,1,8
F02,BPH2916,1,8
F03,BPH2911,2,8
F04,BPH2918,1,8
F05,Non infected,2,8
F06,Non infected,1,8
F07,BPH2911,3,8
F08,BPH2899,3,8
F09,BPH2901,1,8
F10,BPH2912,2,8
F11,Blank,3,8
F12,TOX-4,2,8
G01,BPH2909,2,8
G02,BPH2921,2,8
G03,BPH2898,3,8
G04,BPH2905,2,8
G05,Non infected,3,8
G06,BPH2911,1,8
G07,BPH2906,1,8
G08,BPH2899,1,8
G09,BPH2912,1,8
G10,BPH2904,2,8
G11,BPH2896,3,8
G12,BPH2914,3,8
H01,TOX-5,2,8
H02,BPH2905,3,8
H03,BPH2898,2,8
H04,BPH2900,3,8
H05,BPH2904,3,8
H06,BPH2902,1,8
H07,BPH2897,2,8
H08,BPH2913,2,8
H09,BPH2897,1,8
H10,Total LDH,1,8
H11,Total LDH,2,8
H12,Total LDH,3,8
A01,BPH2944,2,9
A02,BPH2934,3,9
A03,BPH2922,1,9
A04,BPH2933,1,9
A05,Non infected,3,9
A06,BPH2936,1,9
A07,BPH2926,2,9
A08,BPH2949,1,9
A09,BPH2941,2,9
A10,BPH2938,3,9
A11,BPH2928,3,9
A12,BPH2939,3,9
B01,BPH2946,2,9
B02,BPH2924,1,9
B03,BPH2946,1,9
B04,BPH2934,1,9
B05,BPH2947,3,9
B06,TOX-4,3,9
B07,BPH2936,2,9
B08,BPH2932,3,9
B09,BPH2933,2,9
B10,BPH2945,1,9
B11,BPH2935,3,9
B12,BPH2934,2,9
C01,BPH2928,2,9
C02,BPH2931,1,9
C03,BPH2944,3,9
C04,BPH2946,3,9
C05,BPH2935,1,9
C06,BPH2943,3,9
C07,BPH2930,1,9
C08,BPH2940,1,9
C09,BPH2940,2,9
C10,BPH2923,3,9
C11,BPH2941,1,9
C12,TOX-5,2,9
D01,BPH2949,3,9
D02,BPH2945,2,9
D03,BPH2941,3,9
D04,BPH2929,3,9
D05,BPH2932,2,9
D06,TOX-4,2,9
D07,BPH2922,2,9
D08,BPH2936,3,9
D09,BPH2927,3,9
D10,BPH2929,1,9
D11,BPH2939,1,9
D12,BPH2945,3,9
E01,TOX-5,1,9
E02,BPH2943,2,9
E03,BPH2942,2,9
E04,BPH2929,2,9
E05,TOX-4,1,9
E06,BPH2943,1,9
E07,Non infected,1,9
E08,BPH2925,2,9
E09,BPH2927,2,9
E10,BPH2933,3,9
E11,BPH2926,1,9
E12,BPH2942,3,9
F01,BPH2947,1,9
F02,BPH2942,1,9
F03,BPH2937,2,9
F04,BPH2944,1,9
F05,BPH2948,2,9
F06,BPH2948,1,9
F07,BPH2937,3,9
F08,BPH2925,3,9
F09,BPH2927,1,9
F10,BPH2938,2,9
F11,TOX-5,3,9
F12,BPH2949,2,9
G01,BPH2935,2,9
G02,BPH2947,2,9
G03,BPH2924,3,9
G04,BPH2931,2,9
G05,BPH2948,3,9
G06,BPH2937,1,9
G07,BPH2932,1,9
G08,BPH2925,1,9
G09,BPH2938,1,9
G10,BPH2930,2,9
G11,BPH2922,3,9
G12,BPH2940,3,9
H01,Non infected,2,9
H02,BPH2931,3,9
H03,BPH2924,2,9
H04,BPH2926,3,9
H05,BPH2930,3,9
H06,BPH2928,1,9
H07,BPH2923,2,9
H08,BPH2939,2,9
H09,BPH2923,1,9
H10,Total LDH,1,9
H11,Total LDH,2,9
H12,Total LDH,3,9
A01,BPH2972,2,10
A02,BPH2962,3,10
A03,BPH2950,1,10
A04,BPH2961,1,10
A05,TOX-5,3,10
A06,BPH2964,1,10
A07,BPH2954,2,10
A08,TOX-4,1,10
A09,BPH2969,2,10
A10,BPH2966,3,10
A11,BPH2956,3,10
A12,BPH2967,3,10
B01,BPH2974,2,10
B02,BPH2952,1,10
B03,BPH2974,1,10
B04,BPH2962,1,10
B05,BPH2975,3,10
B06,Blank,3,10
B07,BPH2964,2,10
B08,BPH2960,3,10
B09,BPH2961,2,10
B10,BPH2973,1,10
B11,BPH2963,3,10
B12,BPH2962,2,10
C01,BPH2956,2,10
C02,BPH2959,1,10
C03,BPH2972,3,10
C04,BPH2974,3,10
C05,BPH2963,1,10
C06,BPH2971,3,10
C07,BPH2958,1,10
C08,BPH2968,1,10
C09,BPH2968,2,10
C10,BPH2951,3,10
C11,BPH2969,1,10
C12,Blank,2,10
D01,TOX-4,3,10
D02,BPH2973,2,10
D03,BPH2969,3,10
D04,BPH2957,3,10
D05,BPH2960,2,10
D06,Blank,2,10
D07,BPH2950,2,10
D08,BPH2964,3,10
D09,BPH2955,3,10
D10,BPH2957,1,10
D11,BPH2967,1,10
D12,BPH2973,3,10
E01,Blank,1,10
E02,BPH2971,2,10
E03,BPH2970,2,10
E04,BPH2957,2,10
E05,Blank,1,10
E06,BPH2971,1,10
E07,TOX-5,1,10
E08,BPH2953,2,10
E09,BPH2955,2,10
E10,BPH2961,3,10
E11,BPH2954,1,10
E12,BPH2970,3,10
F01,BPH2975,1,10
F02,BPH2970,1,10
F03,BPH2965,2,10
F04,BPH2972,1,10
F05,Non infected,2,10
F06,Non infected,1,10
F07,BPH2965,3,10
F08,BPH2953,3,10
F09,BPH2955,1,10
F10,BPH2966,2,10
F11,Blank,3,10
F12,TOX-4,2,10
G01,BPH2963,2,10
G02,BPH2975,2,10
G03,BPH2952,3,10
G04,BPH2959,2,10
G05,Non infected,3,10
G06,BPH2965,1,10
G07,BPH2960,1,10
G08,BPH2953,1,10
G09,BPH2966,1,10
G10,BPH2958,2,10
G11,BPH2950,3,10
G12,BPH2968,3,10
H01,TOX-5,2,10
H02,BPH2959,3,10
H03,BPH2952,2,10
H04,BPH2954,3,10
H05,BPH2958,3,10
H06,BPH2956,1,10
H07,BPH2951,2,10
H08,BPH2967,2,10
H09,BPH2951,1,10
H10,Total LDH,1,10
H11,Total LDH,2,10
H12,Total LDH,3,10
A01,BPH3203,2,11
A02,BPH2988,3,11
A03,BPH2976,1,11
A04,BPH2987,1,11
A05,Non infected,3,11
A06,BPH2990,1,11
A07,BPH2980,2,11
A08,BPH3208,1,11
A09,BPH3200,2,11
A10,BPH2992,3,11
A11,BPH2982,3,11
A12,BPH2993,3,11
B01,BPH3205,2,11
B02,BPH2978,1,11
B03,BPH3205,1,11
B04,BPH2988,1,11
B05,BPH3206,3,11
B06,TOX-4,3,11
B07,BPH2990,2,11
B08,BPH2986,3,11
B09,BPH2987,2,11
B10,BPH3204,1,11
B11,BPH2989,3,11
B12,BPH2988,2,11
C01,BPH2982,2,11
C02,BPH2985,1,11
C03,BPH3203,3,11
C04,BPH3205,3,11
C05,BPH2989,1,11
C06,BPH3202,3,11
C07,BPH2984,1,11
C08,BPH2994,1,11
C09,BPH2994,2,11
C10,BPH2977,3,11
C11,BPH3200,1,11
C12,TOX-5,2,11
D01,BPH3208,3,11
D02,BPH3204,2,11
D03,BPH3200,3,11
D04,BPH2983,3,11
D05,BPH2986,2,11
D06,TOX-4,2,11
D07,BPH2976,2,11
D08,BPH2990,3,11
D09,BPH2981,3,11
D10,BPH2983,1,11
D11,BPH2993,1,11
D12,BPH3204,3,11
E01,TOX-5,1,11
E02,BPH3202,2,11
E03,BPH3201,2,11
E04,BPH2983,2,11
E05,TOX-4,1,11
E06,BPH3202,1,11
E07,Non infected,1,11
E08,BPH2979,2,11
E09,BPH2981,2,11
E10,BPH2987,3,11
E11,BPH2980,1,11
E12,BPH3201,3,11
F01,BPH3206,1,11
F02,BPH3201,1,11
F03,BPH2991,2,11
F04,BPH3203,1,11
F05,BPH3207,2,11
F06,BPH3207,1,11
F07,BPH2991,3,11
F08,BPH2979,3,11
F09,BPH2981,1,11
F10,BPH2992,2,11
F11,TOX-5,3,11
F12,BPH3208,2,11
G01,BPH2989,2,11
G02,BPH3206,2,11
G03,BPH2978,3,11
G04,BPH2985,2,11
G05,BPH3207,3,11
G06,BPH2991,1,11
G07,BPH2986,1,11
G08,BPH2979,1,11
G09,BPH2992,1,11
G10,BPH2984,2,11
G11,BPH2976,3,11
G12,BPH2994,3,11
H01,Non infected,2,11
H02,BPH2985,3,11
H03,BPH2978,2,11
H04,BPH2980,3,11
H05,BPH2984,3,11
H06,BPH2982,1,11
H07,BPH2977,2,11
H08,BPH2993,2,11
H09,BPH2977,1,11
H10,Total LDH,1,11
H11,Total LDH,2,11
H12,Total LDH,3,11
A01,BPH3231,2,12
A02,BPH3221,3,12
A03,BPH3209,1,12
A04,BPH3220,1,12
A05,Non infected,3,12
A06,BPH3223,1,12
A07,BPH3213,2,12
A08,BPH3236,1,12
A09,BPH3228,2,12
A10,BPH3225,3,12
A11,BPH3215,3,12
A12,BPH3226,3,12
B01,BPH3233,2,12
B02,BPH3211,1,12
B03,BPH3233,1,12
B04,BPH3221,1,12
B05,BPH3234,3,12
B06,TOX-4,3,12
B07,BPH3223,2,12
B08,BPH3219,3,12
B09,BPH3220,2,12
B10,BPH3232,1,12
B11,BPH3222,3,12
