ID	QUERY	SEQUENCE	STRAND	IDENT	LENGTH	COVER	MISMATCH	GAPS	qSTART	qEND	sSTART	sEND	EVALUE	BITSCORE
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2801_00302|MUT-020|	SAUSA300_1549	plus	98.287	642	100	10	1	1	642	10	650	0.0	1105
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2801_01852|MUT-021|	SAUSA300_1642	plus	99.192	1362	100	11	0	1	1362	1	1362	0.0	2407
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2801_02130|MUT-025|	SAUSA300_2110	plus	97.492	3309	45	83	0	1	3309	1	3309	0.0	5594
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2819_01209|MUT-032|	SAUSA300_0174	plus	99.595	741	100	3	0	1	741	1	741	0.0	1324
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2819_00854|MUT-033|	SAUSA300_1731	plus	99.812	1593	100	3	0	1	1593	1	1593	0.0	2860
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2962_01119|MUT-037|	SAUSA300_1533	plus	99.495	990	100	5	0	1	990	1	990	0.0	1764
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2962_02315|MUT-038|	SAUSA300_2281	plus	99.573	936	100	4	0	1	936	1	936	0.0	1671
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2976_02613|MUT-042|	SAUSA300_0886	plus	99.920	1245	100	1	0	1	1245	1	1245	0.0	2241
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	Sa_TW20.cons_01944|MUT-043|	SAUSA300_1860	plus	100.000	1248	100	0	0	1	1248	1	1248	0.0	2251
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2976_00076|MUT-044|	SAUSA300_2379	plus	100.000	1212	100	0	0	1	1212	1	1212	0.0	2186
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH3336_02026|MUT-045|	SAUSA300_2068	plus	99.429	525	100	3	0	1	525	1	525	0.0	934
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH3336_02024|MUT-046|	SAUSA300_2070	plus	99.522	1047	100	5	0	1	1047	1	1047	0.0	1866
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cSa_NCTC_8325_00490|MUT-047|	SAUSA300_0547	plus	97.379	2976	94	54	3	1	2952	916	3891	0.0	5024
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH3337_01837|MUT-049|	SAUSA300_1677	plus	99.926	2688	100	2	0	1	2688	1	2688	0.0	4839
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH3352_00847|MUT-051|	SAUSA300_1147	plus	99.430	1404	100	8	0	1	1404	1	1404	0.0	2497
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH3401_02432|MUT-055|	SAUSA300_0453	plus	100.000	318	100	0	0	1	318	1	318	6.52e-165	574
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH3401_02614|MUT-057|	SAUSA300_0899	plus	100.000	720	100	0	0	1	720	1	720	0.0	1299
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH3401_01782|MUT-059|	SAUSA300_1937	plus	99.237	262	100	1	1	1	261	1	262	8.35e-131	461
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH3401_01329|MUT-061|	SAUSA300_2186	plus	100.000	180	100	0	0	1	180	1	180	2.87e-90	325
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH3401_01278|MUT-062|	SAUSA300_2235	plus	100.000	909	100	0	0	1	909	1	909	0.0	1640
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH3401_00277|MUT-064|	SAUSA300_2556	plus	98.171	820	100	14	1	1	819	1	820	0.0	1408
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH3427_01226|MUT-068|	SAUSA300_0202	plus	98.196	1164	100	21	0	1	1164	1	1164	0.0	2005
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH3437_00028|MUT-070|	SAUSA300_0871	plus	99.557	903	100	4	0	1	903	1	903	0.0	1611
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH3437_01091|MUT-071|	SAUSA300_1223	plus	99.532	855	100	4	0	1	855	1	855	0.0	1525
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH3706_02092|MUT-073|	SAUSA300_1992	plus	100.000	627	87	0	0	91	717	1	627	0.0	1131
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2801_00899|MUT-080|	SAUSA300_2473	plus	99.071	969	100	9	0	1	969	1	969	0.0	1708
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2902_01851|MUT-082|	SAUSA300_1986	plus	99.203	627	100	5	0	1	627	1	627	0.0	1109
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2902_01845|MUT-083|	SAUSA300_1992	plus	97.110	346	79	9	1	91	435	1	346	2.60e-165	576
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2976_01125|MUT-093|	SAUSA300_1179	plus	99.872	1560	100	2	0	1	1560	1	1560	0.0	2805
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2976_01654|MUT-096|	SAUSA300_1352	plus	99.830	588	100	1	0	1	588	1	588	0.0	1057
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2976_01666|MUT-097|	SAUSA300_1363	plus	99.800	999	100	2	0	1	999	1	999	0.0	1793
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2976_01936|MUT-098|	SAUSA300_1544	plus	100.000	1824	100	0	0	1	1824	1	1824	0.0	3290
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2726_01622|MUT-107|	SAUSA300_0347	plus	99.670	606	100	2	0	1	606	52	657	0.0	1085
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2726_02576|MUT-109|	SAUSA300_0560	plus	99.784	462	100	1	0	1	462	1	462	0.0	829
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2726_01088|MUT-113|	SAUSA300_1327	plus	99.978	31266	100	7	0	1	31266	1	31266	0.0	56353
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2726_01089|MUT-114|	SAUSA300_1328	plus	99.569	1392	99	1	1	1	1387	1	1392	0.0	2484
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2726_00938|MUT-119|	SAUSA300_1483	plus	98.718	2496	100	32	0	1	2496	1	2496	0.0	4358
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2763_01154|MUT-126|	SAUSA300_0181	plus	98.899	7176	100	79	0	1	7176	1	7176	0.0	12586
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2763_01493|MUT-131|	SAUSA300_0564	plus	99.738	381	100	1	0	1	381	1	381	0.0	683
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2763_01506|MUT-132|	SAUSA300_0577	plus	96.643	417	95	14	0	25	441	1	417	0.0	690
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2763_01601|MUT-133|	SAUSA300_0670	plus	99.510	1632	100	8	0	1	1632	1	1632	0.0	2908
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2763_01660|MUT-134|	SAUSA300_0727	plus	99.756	1227	100	3	0	1	1227	1	1227	0.0	2200
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2763_00049|MUT-136|	SAUSA300_0826	plus	99.715	351	100	0	1	1	351	1	350	4.55e-180	626
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2763_00285|MUT-137|	SAUSA300_1061	plus	96.970	726	100	22	0	1	726	1	726	0.0	1211
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2763_02221|MUT-139|	SAUSA300_1247	plus	99.786	468	100	1	0	1	468	1	468	0.0	840
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2763_00571|MUT-141|	SAUSA300_1476	plus	100.000	465	100	0	0	1	465	1	465	0.0	839
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2763_02450|MUT-146|	SAUSA300_1992	minus	99.517	207	52	0	1	190	396	627	422	7.71e-102	366
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2763_01729|MUT-148|	SAUSA300_2326	plus	99.842	1265	99	2	0	2	1266	842	2106	0.0	2273
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2763_01800|MUT-149|	SAUSA300_2395	plus	99.512	1638	100	8	0	1	1638	1	1638	0.0	2919
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2763_01802|MUT-150|	SAUSA300_2397	plus	99.158	1187	99	7	1	2	1185	2	1188	0.0	2094
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2770_00225|MUT-153|	SAUSA300_1340	plus	99.203	627	100	5	0	1	627	1	627	0.0	1109
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2881_00572|MUT-154|	SAUSA300_0406	plus	99.670	1212	100	4	0	1	1212	1	1212	0.0	2168
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2881_00078|MUT-156|	SAUSA300_1359	plus	99.683	945	98	3	0	16	960	1	945	0.0	1691
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2881_00239|MUT-157|	SAUSA300_1527	plus	99.333	900	100	6	0	1	900	1	900	0.0	1597
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2881_01206|MUT-163|	SAUSA300_2589	plus	99.017	6816	100	49	1	1	6798	1	6816	0.0	12002
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2952_02161|MUT-167|	SAUSA300_1928	plus	99.683	3786	100	12	0	1	3786	1	3786	0.0	6774
