			Database Name	ODA											
THP1 (Cas9)	non-infected	1	2	2	1	3	20	1345	903	[1333,890,1358,923]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	21	804	913	[791,901,820,926]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	22	936	923	[924,911,949,943]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	23	369	946	[356,935,382,969]	37	0.324445	1	37	748.73
THP1 (Cas9)	non-infected	1	2	2	1	3	24	589	950	[573,934,604,973]	34	0.339084	1	34	691.941
THP1 (Cas9)	non-infected	1	2	2	1	3	25	1045	978	[1031,940,1062,998]	61	0.308185	1	61	985.328
THP1 (Cas9)	non-infected	1	2	2	1	3	26	971	955	[957,941,987,970]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	27	29	965	[15,951,45,983]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	28	331	971	[320,961,342,985]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	29	27	1005	[5,988,47,1022]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	30	796	498	[784,480,810,512]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	3	31	503	683	[491,661,518,752]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	4	1	634	58	[617,37,652,78]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	4	2	948	60	[935,48,963,75]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	4	3	320	120	[285,97,344,142]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	4	4	410	145	[390,116,438,158]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	4	5	21	164	[3,145,56,205]	34	0.314195	1	34	846.882
THP1 (Cas9)	non-infected	1	2	2	1	4	6	1283	177	[1270,150,1296,194]	76	0.285882	1	76	817.276
THP1 (Cas9)	non-infected	1	2	2	1	4	7	989	246	[973,231,1005,262]	47	0.30021	1	47	842.723
THP1 (Cas9)	non-infected	1	2	2	1	4	8	132	274	[116,258,193,292]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	4	9	1188	321	[1168,303,1213,343]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	4	10	1298	410	[1267,395,1330,426]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	4	11	358	453	[343,440,379,469]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	4	12	893	458	[879,445,905,481]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	4	13	1159	488	[1144,474,1173,512]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	4	14	1087	548	[1052,520,1108,570]	42	0.299961	1	42	858.5
THP1 (Cas9)	non-infected	1	2	2	1	4	15	1342	545	[1327,528,1358,569]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	4	16	737	674	[723,659,751,689]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	4	17	979	713	[964,692,994,733]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	4	18	1106	758	[1090,733,1123,788]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	4	19	244	800	[224,783,262,817]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	4	20	1163	849	[1148,833,1179,866]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	4	21	791	932	[774,917,807,947]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	4	22	657	949	[612,939,708,961]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	4	23	303	993	[287,977,320,1016]	53	0.323623	1	53	1417.34
THP1 (Cas9)	non-infected	1	2	2	1	4	24	797	1012	[778,1003,811,1022]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	5	1	450	74	[436,59,468,88]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	5	2	1153	125	[1138,110,1167,139]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	5	3	1102	229	[1086,210,1118,255]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	5	4	412	235	[400,223,426,250]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	5	5	656	275	[644,262,670,308]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	5	6	1338	310	[1323,298,1358,324]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	5	7	674	337	[662,301,688,354]	32	0.320304	1	32	1040.56
THP1 (Cas9)	non-infected	1	2	2	1	5	8	1284	356	[1265,337,1309,373]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	5	9	12	385	[1,374,24,406]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	5	10	959	445	[943,431,974,459]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	5	11	661	446	[647,433,680,461]	112	0.31701	1	112	1494.28
THP1 (Cas9)	non-infected	1	2	2	1	5	12	456	454	[440,440,470,466]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	5	13	797	508	[772,451,832,529]	33	0.358082	1	33	1016.52
THP1 (Cas9)	non-infected	1	2	2	1	5	14	456	508	[438,493,480,523]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	5	15	526	521	[504,505,542,559]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	5	16	909	636	[896,622,922,649]	51	0.302672	1	51	1417.22
THP1 (Cas9)	non-infected	1	2	2	1	5	17	1243	662	[1224,649,1259,682]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	5	18	811	702	[793,689,845,723]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	5	19	705	716	[683,695,729,738]	29	0.304117	1	29	1212.59
THP1 (Cas9)	non-infected	1	2	2	1	5	20	1148	729	[1131,714,1168,747]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	5	21	1014	739	[965,723,1078,775]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	5	22	526	826	[514,814,541,839]	51	0.347476	1	51	1028.67
THP1 (Cas9)	non-infected	1	2	2	1	5	23	909	833	[893,818,925,853]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	5	24	680	886	[667,872,702,916]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	5	25	254	927	[235,892,271,945]	91	0.295642	2	91	1383.31
THP1 (Cas9)	non-infected	1	2	2	1	5	26	920	909	[904,893,942,928]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	5	27	1328	907	[1313,895,1341,921]	53	0.316242	1	53	1112.83
THP1 (Cas9)	non-infected	1	2	2	1	5	28	869	946	[846,911,895,968]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	5	29	183	977	[171,965,195,995]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	1	1293	80	[1275,58,1334,89]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	2	181	16	[164,1,197,31]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	3	1098	13	[1086,1,1116,26]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	4	1348	12	[1337,1,1358,33]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	5	517	23	[504,9,531,39]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	6	133	35	[118,20,150,55]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	7	549	59	[531,40,567,78]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	8	172	107	[154,90,190,125]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	9	495	116	[479,100,511,132]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	10	629	118	[611,103,643,134]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	11	384	130	[369,112,400,148]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	12	1300	166	[1283,152,1339,186]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	13	1260	198	[1234,174,1293,224]	49	0.315736	2	49	623.061
THP1 (Cas9)	non-infected	1	2	2	1	6	14	469	231	[453,215,484,247]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	15	159	237	[146,222,176,262]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	16	1340	273	[1321,258,1358,289]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	17	532	281	[491,264,560,299]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	18	570	291	[553,275,585,306]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	19	367	315	[345,299,400,331]	49	0.338509	1	49	800.102
THP1 (Cas9)	non-infected	1	2	2	1	6	20	1283	344	[1250,308,1308,364]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	21	1174	326	[1157,309,1189,342]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	22	477	324	[451,307,530,352]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	23	832	402	[817,388,847,427]	78	0.353159	1	78	1610.69
THP1 (Cas9)	non-infected	1	2	2	1	6	24	1343	411	[1331,399,1356,429]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	25	169	420	[157,407,181,433]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	26	481	464	[464,446,497,482]	56	0.282563	1	56	908.589
THP1 (Cas9)	non-infected	1	2	2	1	6	27	1018	463	[1005,448,1033,477]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	28	189	483	[172,464,206,500]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	29	587	513	[572,499,602,530]	62	0.343006	1	62	1067.48
THP1 (Cas9)	non-infected	1	2	2	1	6	30	535	528	[517,511,551,547]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	31	890	575	[871,563,904,587]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	32	107	678	[91,643,129,695]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	33	335	668	[326,642,346,728]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	34	266	671	[252,656,281,685]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	35	167	674	[153,660,182,690]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	36	71	673	[58,660,87,687]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	37	554	696	[539,681,568,712]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	38	845	713	[832,700,860,782]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	39	514	719	[499,705,530,735]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	40	160	735	[140,715,181,757]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	41	618	743	[602,724,640,760]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	42	734	793	[714,778,752,808]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	43	1089	797	[1071,784,1103,812]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	44	1330	849	[1308,813,1344,868]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	45	1156	876	[1140,858,1171,914]	66	0.305238	1	66	1033.26
THP1 (Cas9)	non-infected	1	2	2	1	6	46	512	869	[502,860,540,882]	52	0.3313	1	52	1141.08
THP1 (Cas9)	non-infected	1	2	2	1	6	47	562	882	[540,862,582,909]	42	0.310571	1	42	808.238
THP1 (Cas9)	non-infected	1	2	2	1	6	48	1019	886	[1008,875,1030,899]	85	0.299624	1	85	1042.78
THP1 (Cas9)	non-infected	1	2	2	1	6	49	687	890	[674,877,700,910]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	50	1266	913	[1248,895,1284,948]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	51	587	917	[564,897,609,937]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	52	1041	929	[1026,913,1054,942]	57	0.295459	1	57	1005.18
THP1 (Cas9)	non-infected	1	2	2	1	6	53	452	936	[437,920,468,956]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	54	817	965	[802,953,838,977]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	55	1125	966	[1111,953,1139,984]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	56	593	1010	[581,993,606,1022]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	57	467	1008	[449,994,485,1022]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	58	777	1011	[763,1001,793,1022]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	59	1070	257	[1042,235,1122,299]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	60	234	342	[196,306,276,380]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	6	61	619	816	[592,789,645,843]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	1	866	16	[852,2,881,30]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	2	700	48	[685,31,712,62]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	3	1206	62	[1164,42,1226,103]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	4	477	95	[455,74,506,117]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	5	385	93	[364,78,407,111]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	6	251	113	[235,96,266,129]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	7	421	179	[407,164,436,197]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	8	1308	182	[1294,170,1323,196]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	9	1056	230	[1011,185,1098,263]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	10	711	234	[681,202,736,255]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	11	918	313	[903,298,955,329]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	12	820	330	[800,304,839,364]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	13	539	368	[511,328,567,389]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	14	690	344	[671,331,704,360]	49	0.379215	1	49	1811.55
THP1 (Cas9)	non-infected	1	2	2	1	7	15	818	390	[804,379,832,403]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	16	1062	413	[1047,400,1077,427]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	17	475	430	[445,403,558,459]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	18	531	465	[517,427,543,511]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	19	1150	443	[1138,431,1165,456]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	20	730	464	[717,449,743,477]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	21	984	469	[967,453,1003,488]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	22	1332	486	[1321,475,1358,523]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	23	156	508	[140,493,170,522]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	24	737	558	[721,542,754,576]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	25	427	608	[417,599,441,619]	61	0.316634	1	61	861.115
THP1 (Cas9)	non-infected	1	2	2	1	7	26	252	726	[226,702,274,749]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	27	139	738	[123,718,158,755]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	28	698	860	[661,835,732,900]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	7	29	250	916	[234,907,271,928]	0	NaN	0	0	NaN
