			Database Name	ODA												
THP1 (Cas9)	non-infected	1	2	2	1	0	3	3	778	529	[764,514,793,544]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	3	4	317	745	[301,704,334,796]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	3	5	486	775	[470,760,501,790]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	3	6	1264	879	[1254,869,1277,891]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	3	7	914	908	[901,895,926,920]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	3	8	1037	926	[1020,909,1055,947]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	3	9	650	955	[634,940,670,971]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	3	10	1077	1011	[1059,991,1100,1022]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	4	1	517	183	[502,167,535,201]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	4	2	1106	922	[1084,880,1126,943]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	5	1	362	106	[348,90,377,122]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	5	2	794	249	[783,238,807,262]	45	0.301303	1	45	792.867
THP1 (Cas9)	non-infected	1	2	2	1	0	5	3	1346	344	[1336,331,1358,386]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	5	4	355	377	[339,362,370,393]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	5	5	1315	405	[1294,378,1342,430]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	5	6	153	594	[135,575,168,610]	60	0.363988	1	60	1060.28
THP1 (Cas9)	non-infected	1	2	2	1	0	5	7	579	644	[561,632,609,662]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	5	8	1348	706	[1335,696,1358,725]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	5	9	701	851	[683,826,721,874]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	5	10	984	859	[967,843,999,882]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	5	11	792	906	[779,889,809,922]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	5	12	457	960	[441,943,473,975]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	5	13	417	984	[401,967,440,1022]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	6	1	1131	21	[1119,8,1143,35]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	6	2	740	183	[721,165,757,212]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	6	3	1324	246	[1308,230,1338,269]	72	0.296105	1	72	701.069
THP1 (Cas9)	non-infected	1	2	2	1	0	6	4	1285	300	[1273,288,1299,318]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	6	5	918	471	[894,446,941,493]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	6	6	1331	496	[1313,479,1349,514]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	6	7	857	542	[787,528,897,557]	54	0.284968	1	54	705.37
THP1 (Cas9)	non-infected	1	2	2	1	0	6	8	553	643	[538,626,568,659]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	6	9	321	669	[300,641,346,695]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	6	10	968	699	[942,668,993,725]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	6	11	243	740	[230,729,266,751]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	6	12	1004	808	[986,791,1024,827]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	6	13	1228	866	[1213,852,1242,886]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	6	14	741	977	[725,961,758,993]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	1	412	124	[396,108,436,138]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	2	730	144	[712,128,750,162]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	3	1229	147	[1216,134,1244,161]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	4	133	173	[105,157,146,211]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	5	1188	177	[1168,157,1210,198]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	6	618	208	[596,190,642,227]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	7	294	212	[279,196,311,227]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	8	110	346	[73,301,154,402]	52	0.302852	1	52	827.038
THP1 (Cas9)	non-infected	1	2	2	1	0	7	9	650	334	[634,318,671,350]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	10	258	392	[237,373,278,436]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	11	126	424	[111,409,141,440]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	12	353	445	[333,415,374,465]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	13	387	490	[364,473,403,507]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	14	204	508	[189,493,221,524]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	15	22	526	[1,509,39,544]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	16	129	592	[115,579,143,611]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	17	165	605	[151,591,179,624]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	18	555	683	[542,670,575,697]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	19	300	689	[285,674,318,711]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	20	1042	704	[1029,684,1054,733]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	21	779	710	[762,692,806,727]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	22	615	784	[596,767,631,801]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	23	19	797	[4,773,39,830]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	24	540	804	[519,785,558,823]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	25	1117	839	[1087,803,1132,855]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	26	78	835	[55,816,96,886]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	27	14	915	[1,889,27,933]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	28	321	906	[307,896,333,918]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	29	1252	971	[1224,953,1271,992]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	30	302	1000	[292,985,312,1011]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	31	685	1008	[670,998,700,1020]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	32	99	87	[78,71,120,102]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	33	373	815	[355,797,390,842]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	7	34	470	1010	[453,987,487,1022]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	8	1	1351	302	[1343,282,1358,328]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	8	2	1263	224	[1247,211,1278,239]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	8	3	245	416	[231,390,260,445]	51	0.300792	1	51	1319.73
THP1 (Cas9)	non-infected	1	2	2	1	0	8	4	1024	452	[1005,439,1041,465]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	8	5	1171	475	[1154,458,1186,496]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	8	6	1289	666	[1274,625,1304,694]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	8	7	669	690	[590,675,733,705]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	8	8	358	873	[343,836,376,889]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	9	1	503	93	[483,76,525,113]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	9	2	442	255	[429,242,456,271]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	9	3	188	326	[175,307,200,341]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	9	4	1247	334	[1232,319,1263,378]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	9	5	1349	386	[1339,376,1358,403]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	9	6	923	509	[913,497,933,524]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	9	7	1063	523	[1049,510,1079,536]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	9	8	793	557	[778,538,807,579]	29	0.385003	1	29	828
THP1 (Cas9)	non-infected	1	2	2	1	0	9	9	1334	919	[1316,900,1352,938]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	9	10	85	959	[71,945,98,972]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	9	11	150	992	[138,979,163,1005]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	1	769	971	[759,931,782,1022]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	2	893	1016	[851,1010,961,1022]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	3	64	41	[50,26,80,66]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	4	1317	69	[1296,48,1336,107]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	5	983	84	[971,72,997,98]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	6	71	102	[51,81,89,126]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	7	928	177	[908,158,948,198]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	8	524	197	[509,184,537,216]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	9	680	244	[657,227,697,271]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	10	433	272	[406,258,459,304]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	11	152	325	[135,311,170,345]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	12	493	422	[478,406,507,441]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	13	561	434	[542,417,578,452]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	14	232	450	[219,436,245,476]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	15	342	538	[313,517,370,560]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	16	112	544	[94,522,130,564]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	17	422	539	[406,523,439,555]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	18	817	560	[805,548,830,574]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	19	1246	584	[1234,556,1259,607]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	20	464	567	[455,558,476,582]	46	0.306479	1	46	992.217
THP1 (Cas9)	non-infected	1	2	2	1	0	10	21	516	590	[499,566,532,630]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	22	1199	614	[1164,589,1219,642]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	23	1270	614	[1255,600,1286,629]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	24	1183	659	[1156,641,1201,704]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	25	1346	661	[1335,649,1358,675]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	26	381	689	[368,676,398,704]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	27	994	701	[969,681,1024,719]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	28	915	699	[898,683,971,716]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	29	721	708	[710,696,733,720]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	30	517	732	[497,716,536,750]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	31	204	753	[186,717,230,782]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	32	706	743	[693,727,729,784]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	33	248	768	[202,743,279,811]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	34	1030	780	[1013,763,1050,796]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	35	627	809	[602,789,652,844]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	36	574	808	[558,793,589,827]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	37	12	818	[1,807,25,834]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	38	865	827	[853,815,878,839]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	39	494	834	[478,817,510,855]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	40	264	840	[249,825,283,857]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	41	933	857	[915,840,969,873]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	42	1065	858	[1052,845,1080,871]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	43	1121	870	[1094,843,1155,897]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	44	599	867	[581,847,617,887]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	45	304	884	[278,866,337,910]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	46	977	912	[959,895,1000,929]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	47	173	912	[160,901,195,927]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	48	648	934	[631,921,665,950]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	49	349	944	[336,929,362,962]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	50	802	987	[786,972,823,1006]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	10	51	629	987	[617,976,640,1002]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	1	227	360	[213,343,238,390]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	2	845	21	[821,1,869,45]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	3	782	26	[768,12,796,45]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	4	1342	27	[1330,15,1355,41]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	5	712	33	[700,17,726,50]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	6	449	36	[424,16,469,57]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	7	555	40	[545,30,566,56]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	8	21	47	[5,34,36,60]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	9	440	80	[409,45,512,105]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	10	668	63	[653,49,690,78]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	11	837	60	[817,49,848,80]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	12	132	75	[113,58,148,94]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	13	270	85	[259,57,282,99]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	14	741	80	[725,62,758,99]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	15	697	104	[682,89,714,120]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	16	342	129	[326,112,359,149]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	17	641	159	[625,142,656,179]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	18	1294	165	[1278,151,1308,181]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	19	401	168	[371,154,414,202]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	20	1013	169	[999,154,1027,189]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	21	860	217	[831,180,893,234]	48	0.293623	1	48	869.646
THP1 (Cas9)	non-infected	1	2	2	1	0	11	22	996	204	[975,183,1018,226]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	23	354	253	[335,234,371,275]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	24	239	265	[225,252,254,280]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	25	1326	286	[1311,270,1341,305]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	26	963	317	[937,285,981,338]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	27	1275	327	[1252,304,1314,351]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	28	685	324	[670,311,723,338]	41	0.294671	1	41	878.707
THP1 (Cas9)	non-infected	1	2	2	1	0	11	29	912	372	[903,340,925,404]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	30	771	375	[755,360,787,392]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	31	720	402	[705,387,737,419]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	32	520	408	[501,389,541,431]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	33	844	412	[824,392,865,433]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	34	220	431	[189,400,245,453]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	35	158	413	[142,398,174,427]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	36	797	429	[780,413,814,445]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	37	573	448	[558,435,596,462]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	38	1308	480	[1282,463,1328,512]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	39	590	493	[559,471,615,511]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	40	1251	493	[1240,482,1271,507]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	41	480	505	[465,491,495,526]	28	0.363296	1	28	766.5
THP1 (Cas9)	non-infected	1	2	2	1	0	11	42	1071	514	[1056,498,1085,531]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	43	268	530	[255,514,282,546]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	44	1345	529	[1326,515,1358,555]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	45	337	538	[323,524,365,564]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	46	326	580	[310,558,365,598]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	47	1316	582	[1295,569,1337,595]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	48	396	617	[376,595,425,644]	66	0.328226	1	66	1158.47
THP1 (Cas9)	non-infected	1	2	2	1	0	11	49	319	617	[301,603,342,631]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	50	481	633	[466,618,497,656]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	51	346	659	[334,646,358,678]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	52	315	670	[300,654,328,685]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	53	444	676	[430,662,461,693]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	54	639	683	[618,664,669,703]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	55	215	688	[199,672,231,713]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	56	374	699	[345,677,397,725]	26	0.351102	1	26	858.423
THP1 (Cas9)	non-infected	1	2	2	1	0	11	57	1190	729	[1173,712,1209,749]	0	NaN	0	0	NaN
THP1 (Cas9)	non-infected	1	2	2	1	0	11	58	1141	743	[1119,725,1164,762]	0	NaN	0	0	NaN
