"total_conv_events","conv_summary","operon_id","operon_label","operon_locus_tags","NCTC8325_chrom","BeginTU","EndTUshort","mutated_features","mutated_features_types","mutated_genes"
11,"PI:5,GC:3,mortality:3","TU-U804","pepQ2, efp, S648, accB, accC, NA, nusB, xseA, xseB, ispA, S647","SAOUHSC_01626, SAOUHSC_01625, new_1547200_1547474_-1, SAOUHSC_01624, SAOUHSC_01623, SAOUHSC_01622, SAOUHSC_01621, SAOUHSC_01620, SAOUHSC_01619, SAOUHSC_01618, new_1541676_1542035_-1","NC_007795",1549325,1541688,"SAOUHSC_01624,SAOUHSC_01618,SAOUHSC_01622,SAOUHSC_01625,SAOUHSC_01621,SAOUHSC_01620,SAOUHSC_01623","NCTC8325_operons","accB,ispA,-,efp,nusB,xseA,accC"
11,"PI:3,GC:2,mortality:6","TU-U1107","S883, S884, ilvD, ilvB, ilvH, S885, ilvC, leuA, leuB, leuC, leuD, ilvA","new_2111489_2111716_1, new_2111718_2111805_1, SAOUHSC_02281, SAOUHSC_02282, SAOUHSC_02283, new_2115546_2115681_1, SAOUHSC_02284, SAOUHSC_02285, SAOUHSC_02286, SAOUHSC_02287, SAOUHSC_02288, SAOUHSC_02289","NC_007795",2111487,2122519,"SAOUHSC_02285,SAOUHSC_02287,SAOUHSC_02282,SAOUHSC_02284,SAOUHSC_02286,SAOUHSC_02289,SAOUHSC_02281","NCTC8325_operons","leuA,leuC,ilvB,ilvC,leuB,ilvA2,ilvD"
11,"PI:3,GC:3,mortality:5","TU-U525","S413, purE, purK, purC, purS, purQ, purL, purF, purM, purN, purH, purD","new_979252_979384_1, SAOUHSC_01008, SAOUHSC_01009, SAOUHSC_01010, SAOUHSC_01011, SAOUHSC_01012, SAOUHSC_01013, SAOUHSC_01014, SAOUHSC_01015, SAOUHSC_01016, SAOUHSC_01017, SAOUHSC_01018","NC_007795",979254,990557,"SAOUHSC_01014,SAOUHSC_01010,SAOUHSC_01012,SAOUHSC_01018,SAOUHSC_01013,SAOUHSC_01017,SAOUHSC_01015,SAOUHSC_01016","NCTC8325_operons","purF,purC,purQ,purD,purL,purH,purM,purN"
10,"PI:4,GC:3,mortality:3","TU-U201","S158, pth, mfd, NA, NA, NA, NA, NA, S159, tilS","new_472941_473152_1, SAOUHSC_00475, SAOUHSC_00477, SAOUHSC_00479, SAOUHSC_00480, SAOUHSC_00481, SAOUHSC_00482, SAOUHSC_00483, new_481117_481229_1, SAOUHSC_00484","NC_007795",472941,482223,"SAOUHSC_00475,SAOUHSC_00477,SAOUHSC_00484,SAOUHSC_00481","NCTC8325_operons","pth,mfd,tilS,-"
9,"PI:6,mortality:3","TU-U467","S382, oppB, oppC, oppD, oppF, oppA","new_893929_894010_1, SAOUHSC_00923, SAOUHSC_00924, SAOUHSC_00925, SAOUHSC_00926, SAOUHSC_00927","NC_007795",893924,899709,"SAOUHSC_00927,new_893929_894010_1,SAOUHSC_00926","NCTC8325_operons","opp-3A,opp-3F"
9,"PI:4,GC:3,mortality:2","TU-U1135","tdk, prfA, S906, NA, NA, ptpB, S905, NA, glyA, upp, mnaA, NA, atpB, atpE, S904, atpF, atpH, atpA, S903, atpG, atpD, atpC","SAOUHSC_02360, SAOUHSC_02359, new_2180509_2180578_-1, SAOUHSC_02358, SAOUHSC_02357, SAOUHSC_02356, new_2178104_2178168_-1, SAOUHSC_02355, SAOUHSC_02354, SAOUHSC_02353, SAOUHSC_02352, SAOUHSC_02351, SAOUHSC_02350, SAOUHSC_02349, new_2172785_2172981_-1, SAOUHSC_02347, SAOUHSC_02346, SAOUHSC_02345, new_2170095_2170193_-1, SAOUHSC_02343, SAOUHSC_02341, SAOUHSC_02340","NC_007795",2182297,2167458,"SAOUHSC_02350,SAOUHSC_02355,SAOUHSC_02357,SAOUHSC_02356,SAOUHSC_02354,SAOUHSC_02358,SAOUHSC_02341","NCTC8325_operons","atpB,-,ptpB,glyA,prmC,atpD"
9,"PI:4,GC:3,mortality:2","TU-U800","accB, accC, NA, nusB, xseA, xseB, ispA, S647","SAOUHSC_01624, SAOUHSC_01623, SAOUHSC_01622, SAOUHSC_01621, SAOUHSC_01620, SAOUHSC_01619, SAOUHSC_01618, new_1541676_1542035_-1","NC_007795",1547198,1541688,"SAOUHSC_01624,SAOUHSC_01618,SAOUHSC_01622,SAOUHSC_01621,SAOUHSC_01620,SAOUHSC_01623","NCTC8325_operons","accB,ispA,-,nusB,xseA,accC"
9,"PI:3,GC:2,mortality:4","TU-U637","S508, rpsB, NA, tsf, S509, pyrH, frr, S510, S511, uppS, cdsA, S512, NA, proS, S513, polC, S514, S515, rimP, nusA, NA, NA, infB","new_1180686_1180856_1, SAOUHSC_01232, SAOUHSC_01233, SAOUHSC_01234, new_1182690_1182787_1, SAOUHSC_01235, SAOUHSC_01236, new_1184084_1184389_1, new_1184391_1184455_1, SAOUHSC_01237, SAOUHSC_01238, new_1186016_1186353_1, SAOUHSC_01239, SAOUHSC_01240, new_1189377_1189524_1, SAOUHSC_01241, new_1193836_1194035_1, new_1194037_1194124_1, SAOUHSC_01242, SAOUHSC_01243, SAOUHSC_01244, SAOUHSC_01245, SAOUHSC_01246","NC_007795",1180686,1198535,"SAOUHSC_01241,SAOUHSC_01234,new_1194037_1194124_1,new_1186016_1186353_1,SAOUHSC_01246,SAOUHSC_01240","NCTC8325_operons","polC,tsf,infB,proS"
9,"PI:2,GC:2,mortality:5","TU-U1046","S835, purB, S834, hisR, pcrB, pcrA, ligA, NA","new_2001479_2001627_-1, SAOUHSC_02126, new_2000075_2000182_-1, SAOUHSC_02125, SAOUHSC_02124, SAOUHSC_02123, SAOUHSC_02122, SAOUHSC_02121","NC_007795",2001627,1993514,"SAOUHSC_02123,SAOUHSC_02122,SAOUHSC_02126,SAOUHSC_02121,SAOUHSC_02124","NCTC8325_operons","pcrA,ligA,purB,-,pcrB"
9,"PI:2,GC:2,mortality:5","TU-U577","S452, NA, NA, NA, mutS2, S453, trxA, S454, uvrC","new_1056585_1056821_1, SAOUHSC_01096, SAOUHSC_01097, SAOUHSC_01098, SAOUHSC_01099, new_1061787_1061926_1, SAOUHSC_01100, new_1062274_1062633_1, SAOUHSC_01102","NC_007795",1056585,1064116,"SAOUHSC_01098,SAOUHSC_01102,SAOUHSC_01099","NCTC8325_operons","polX,uvrC,mutS2"
8,"PI:3,GC:2,mortality:3","TU-U600","mraZ, mraW, ftsL, pbpA, S472, mraY, murD, divIB, ftsA, ftsZ, S473, S474, NA","SAOUHSC_01142, SAOUHSC_01143, SAOUHSC_01144, SAOUHSC_01145, new_1096109_1096399_1, SAOUHSC_01146, SAOUHSC_01147, SAOUHSC_01148, SAOUHSC_01149, SAOUHSC_01150, new_1102834_1102959_1, new_1102961_1103159_1, SAOUHSC_01152","NC_007795",1092054,1103403,"SAOUHSC_01145,SAOUHSC_01148,SAOUHSC_01152,new_1096109_1096399_1","NCTC8325_operons","pbp1,divIB,-"
8,"PI:2,GC:2,mortality:4","TU-U1045","pcrB, pcrA, ligA, NA","SAOUHSC_02124, SAOUHSC_02123, SAOUHSC_02122, SAOUHSC_02121","NC_007795",1999635,1993497,"SAOUHSC_02123,SAOUHSC_02122,SAOUHSC_02121,SAOUHSC_02124","NCTC8325_operons","pcrA,ligA,-,pcrB"
8,"PI:2,GC:3,mortality:3","TU-U619","def2, fmt, sun, NA, NA, pknB","SAOUHSC_01182, SAOUHSC_01183, SAOUHSC_01184, SAOUHSC_01185, SAOUHSC_01186, SAOUHSC_01187","NC_007795",1133596,1140191,"SAOUHSC_01186,SAOUHSC_01185,SAOUHSC_01187","NCTC8325_operons","stp1,rlmN,pknB"
8,"PI:2,mortality:6","TU-U625","fapR, plsX, fabD, fabG, S494, S495, acpP, S496, rnc, S497, smc, ftsY, NA, ffh, S498","SAOUHSC_01196, SAOUHSC_01197, SAOUHSC_01198, SAOUHSC_01199, new_1151303_1151463_1, new_1151465_1151544_1, SAOUHSC_01201, new_1151798_1151893_1, SAOUHSC_01203, new_1152626_1152771_1, SAOUHSC_01204, SAOUHSC_01205, SAOUHSC_01206, SAOUHSC_01207, new_1159344_1159684_1","NC_007795",1148062,1159673,"SAOUHSC_01198,SAOUHSC_01204,SAOUHSC_01196,new_1151303_1151463_1,SAOUHSC_01203,new_1151798_1151893_1,SAOUHSC_01205,SAOUHSC_01206","NCTC8325_operons","fabD,smc,fapR,rnc,ftsY,-"
7,"PI:4,mortality:3","TU-U35","S32, sbnA, sbnB, sbnC, sbnD, sbnE, sbnF, sbnG, sbnH, sbnI, S33","new_79653_79884_1, SAOUHSC_00075, SAOUHSC_00076, SAOUHSC_00077, SAOUHSC_00078, SAOUHSC_00079, SAOUHSC_00080, SAOUHSC_00081, SAOUHSC_00082, SAOUHSC_00083, new_90968_91059_1","NC_007795",79653,91019,"SAOUHSC_00080,SAOUHSC_00079,SAOUHSC_00078,SAOUHSC_00083,SAOUHSC_00082","NCTC8325_operons","sbnF,sbnE,sbnD,sbnI,sbnH"
7,"PI:3,mortality:4","TU-U216","ctsR, S169, NA, NA, clpC, S170, S171, S172, radA, NA, S173, S174, gltX, S175, S176, cysE","SAOUHSC_00502, new_503631_503726_1, SAOUHSC_00503, SAOUHSC_00504, SAOUHSC_00505, new_507717_507908_1, new_507910_508021_1, new_508023_508196_1, SAOUHSC_00507, SAOUHSC_00508, new_510630_511036_1, new_511038_511185_1, SAOUHSC_00509, new_512705_512985_1, new_512987_513062_1, SAOUHSC_00510","NC_007795",503125,513469,"SAOUHSC_00505,SAOUHSC_00508,new_508023_508196_1,new_510630_511036_1,SAOUHSC_00503","NCTC8325_operons","clpC,-,mcsA"
7,"PI:3,GC:2,mortality:2","TU-U680","S550, katA, S551, rpmG, S552, rpsN, S553, guaC, S554, NA, S556","new_1269986_1270121_1, SAOUHSC_01327, new_1271544_1271633_1, SAOUHSC_01328, new_1271833_1272186_1, SAOUHSC_01329, new_1272507_1272595_1, SAOUHSC_01330, new_1273641_1273814_1, SAOUHSC_01332, new_1274679_1274830_1","NC_007795",1269978,1274780,"SAOUHSC_01327,SAOUHSC_01330,new_1272507_1272595_1","NCTC8325_operons","katA,guaC"
7,"PI:3,mortality:4","TU-U849","S688, relA, dtd, lytH, S687, S686, hisS, aspS","new_1646339_1646476_-1, SAOUHSC_01742, SAOUHSC_01741, SAOUHSC_01739, new_1642486_1642778_-1, new_1642353_1642484_-1, SAOUHSC_01738, SAOUHSC_01737","NC_007795",1646476,1639268,"SAOUHSC_01742,SAOUHSC_01741,SAOUHSC_01739,SAOUHSC_01738,SAOUHSC_01737","NCTC8325_operons","relA,dtd,lytH,hisS,aspS"
7,"PI:3,mortality:4","TU-U850","S689, S688, relA, dtd, lytH, S687, S686, hisS, aspS","new_1646478_1646578_-1, new_1646339_1646476_-1, SAOUHSC_01742, SAOUHSC_01741, SAOUHSC_01739, new_1642486_1642778_-1, new_1642353_1642484_-1, SAOUHSC_01738, SAOUHSC_01737","NC_007795",1646583,1639268,"SAOUHSC_01742,SAOUHSC_01741,SAOUHSC_01739,SAOUHSC_01738,SAOUHSC_01737,new_1646478_1646578_-1,U850","NCTC8325_operons,promoter","relA,dtd,lytH,hisS,aspS"
7,"PI:2,GC:2,mortality:3","TU-U479","NA, relQ, ppnK, NA, mgtE, NA, S392, S393, fabI","SAOUHSC_00941, SAOUHSC_00942, SAOUHSC_00943, SAOUHSC_00944, SAOUHSC_00945, SAOUHSC_00946, new_919754_919937_1, new_919939_920030_1, SAOUHSC_00947","NC_007795",913785,920789,"SAOUHSC_00946,new_919939_920030_1,SAOUHSC_00947","NCTC8325_operons","cpaA,fabI"
7,"PI:2,GC:2,mortality:3","TU-U640","S513, polC, S514, S515, rimP, nusA, NA, NA, infB","new_1189377_1189524_1, SAOUHSC_01241, new_1193836_1194035_1, new_1194037_1194124_1, SAOUHSC_01242, SAOUHSC_01243, SAOUHSC_01244, SAOUHSC_01245, SAOUHSC_01246","NC_007795",1189377,1198552,"SAOUHSC_01241,new_1194037_1194124_1,SAOUHSC_01246","NCTC8325_operons","polC,infB"
6,"PI:4,GC:2","TU-U199","yabJ, S154, spoVG, S155, NA","SAOUHSC_00468, new_468858_468928_1, SAOUHSC_00469, new_469303_469420_1, SAOUHSC_00470","NC_007795",468314,469541,"SAOUHSC_00469,SAOUHSC_00468,new_468858_468928_1","NCTC8325_operons","spoVG,yabJ"
6,"PI:4,mortality:2","TU-U65","NA, rlp, ggt, S55","SAOUHSC_00169, SAOUHSC_00170, SAOUHSC_00171, new_188435_188581_1","NC_007795",182037,188548,"SAOUHSC_00170,SAOUHSC_00171,SAOUHSC_00169,U65","NCTC8325_operons,promoter","-,ggt"
6,"PI:2,mortality:4","TU-U1026","NA, NA, S816, NA, NA, NA, NA, NA, NA, NA, S813, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, S812, NA, NA, NA, NA, NA, S811, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, S810","SAOUHSC_02083, SAOUHSC_02081, new_1962593_1962648_-1, SAOUHSC_02080, SAOUHSC_02079, SAOUHSC_02078, SAOUHSC_02077, SAOUHSC_02075, SAOUHSC_02074, SAOUHSC_02073, new_1958584_1958666_-1, SAOUHSC_02071, SAOUHSC_02070, SAOUHSC_02069, SAOUHSC_02068, SAOUHSC_02067, SAOUHSC_02066, SAOUHSC_02062, SAOUHSC_02061, SAOUHSC_02058, SAOUHSC_02057, SAOUHSC_02056, SAOUHSC_02053, SAOUHSC_02052, SAOUHSC_02051, new_1950544_1950672_-1, SAOUHSC_02050, SAOUHSC_02049, SAOUHSC_02048, SAOUHSC_02047, SAOUHSC_02046, new_1945883_1945990_-1, SAOUHSC_02044, SAOUHSC_02043, SAOUHSC_02042, SAOUHSC_02041, SAOUHSC_02040, SAOUHSC_02038, SAOUHSC_02037, SAOUHSC_02036, SAOUHSC_02035, SAOUHSC_02034, SAOUHSC_02033, SAOUHSC_02031, SAOUHSC_02030, SAOUHSC_02029, SAOUHSC_02028, SAOUHSC_02027, SAOUHSC_02026, SAOUHSC_02025, SAOUHSC_02023, SAOUHSC_02022, SAOUHSC_02021, SAOUHSC_02020, SAOUHSC_02019, new_1924468_1924646_-1","NC_007795",1963275,1924562,"SAOUHSC_02023,SAOUHSC_02053,SAOUHSC_02025,SAOUHSC_02078,SAOUHSC_02068,SAOUHSC_02028","NCTC8325_operons","rinB,"
6,"PI:2,GC:2,mortality:2","TU-U284","S230, NA, mnhA, mnhB, mnhC, mnhD, mnhE, S231, mnhG","new_614279_614349_1, SAOUHSC_00624, SAOUHSC_00625, SAOUHSC_00626, SAOUHSC_00627, SAOUHSC_00628, SAOUHSC_00629, new_620054_620305_1, SAOUHSC_00632","NC_007795",614279,620807,"SAOUHSC_00629,SAOUHSC_00628,SAOUHSC_00625,SAOUHSC_00624","NCTC8325_operons","mnhE2,mnhD2,mnhA2,-"
6,"PI:2,mortality:4","TU-U316","NA, NA, NA, S259, NA, S260, NA, NA, NA, NA","SAOUHSC_00675, SAOUHSC_00676, SAOUHSC_00677, new_666312_666417_1, SAOUHSC_00678, new_667063_667177_1, SAOUHSC_00679, SAOUHSC_00680, SAOUHSC_00681, SAOUHSC_00682","NC_007795",664826,669920,"SAOUHSC_00681,new_667063_667177_1,SAOUHSC_00679,SAOUHSC_00675,SAOUHSC_00680","NCTC8325_operons","-,ccpE"
6,"PI:2,GC:2,mortality:2","TU-U635","topA, S504, gid, S505, xerC, clpQ, hslU, codY, S506, NA, S507, S508, rpsB, NA, tsf, S509, pyrH, frr, S510, S511, uppS, cdsA, S512, NA, proS","SAOUHSC_01222, new_1174894_1175048_1, SAOUHSC_01223, new_1176381_1176740_1, SAOUHSC_01224, SAOUHSC_01225, SAOUHSC_01226, SAOUHSC_01228, new_1180479_1180528_1, SAOUHSC_01230, new_1180622_1180684_1, new_1180686_1180856_1, SAOUHSC_01232, SAOUHSC_01233, SAOUHSC_01234, new_1182690_1182787_1, SAOUHSC_01235, SAOUHSC_01236, new_1184084_1184389_1, new_1184391_1184455_1, SAOUHSC_01237, SAOUHSC_01238, new_1186016_1186353_1, SAOUHSC_01239, SAOUHSC_01240","NC_007795",1172780,1189372,"SAOUHSC_01224,SAOUHSC_01234,new_1186016_1186353_1,SAOUHSC_01223,SAOUHSC_01240","NCTC8325_operons","xerC,tsf,gid,proS"
6,"PI:2,GC:2,mortality:2","TU-U643","S517, rbfA, S518, truB, ribC, S519, rpsO, S520, pnpA","new_1198823_1198914_1, SAOUHSC_01247, new_1199318_1199433_1, SAOUHSC_01248, SAOUHSC_01249, new_1201338_1201451_1, SAOUHSC_01250, new_1201769_1202090_1, SAOUHSC_01251","NC_007795",1198823,1204162,"new_1201769_1202090_1,new_1199318_1199433_1,SAOUHSC_01247,SAOUHSC_01251,new_1198823_1198914_1","NCTC8325_operons",",rbfA,pnpA"
6,"PI:2,mortality:4","TU-U718","pstS, NA, PstC, pstA, pstB, phoU","SAOUHSC_01389, SAOUHSC_01388, SAOUHSC_01387, SAOUHSC_01386, SAOUHSC_01385, SAOUHSC_01384","NC_007795",1332403,1327743,"SAOUHSC_01386,SAOUHSC_01384,U718,SAOUHSC_01385,SAOUHSC_01389,SAOUHSC_01387","NCTC8325_operons,promoter","pstA,phoU,pstB,pstS,pstC"
6,"GC:3,mortality:3","TU-U900","tpx, S722, NA, ackA","SAOUHSC_01822, new_1727776_1727897_-1, SAOUHSC_01821, SAOUHSC_01820","NC_007795",1728434,1725560,"U900,SAOUHSC_01821,SAOUHSC_01820,SAOUHSC_01822","NCTC8325_operons,promoter","-,ackA,tpx"
6,"GC:2,mortality:4","TU-U1125","cls2, NA, S899","SAOUHSC_02323, SAOUHSC_02324, new_2157536_2158194_1","NC_007795",2155322,2158134,"SAOUHSC_02324,SAOUHSC_02323,new_2157536_2158194_1","NCTC8325_operons","-,cls2"
6,"GC:2,mortality:4","TU-U836","S675, NA, S674, NA, NA, NA, NA, NA, S673","new_1619567_1619648_-1, SAOUHSC_01712, new_1618780_1618864_-1, SAOUHSC_01711, SAOUHSC_01710, SAOUHSC_01709, SAOUHSC_01708, SAOUHSC_01707, new_1613928_1614044_-1","NC_007795",1619648,1613972,"SAOUHSC_01711,SAOUHSC_01709,SAOUHSC_01707,SAOUHSC_01708","NCTC8325_operons","-,pxpA"
5,"PI:3,GC:2","TU-U1133","S905, NA, glyA, upp, mnaA, NA, atpB, atpE, S904, atpF, atpH, atpA, S903, atpG, atpD, atpC","new_2178104_2178168_-1, SAOUHSC_02355, SAOUHSC_02354, SAOUHSC_02353, SAOUHSC_02352, SAOUHSC_02351, SAOUHSC_02350, SAOUHSC_02349, new_2172785_2172981_-1, SAOUHSC_02347, SAOUHSC_02346, SAOUHSC_02345, new_2170095_2170193_-1, SAOUHSC_02343, SAOUHSC_02341, SAOUHSC_02340","NC_007795",2178168,2167441,"SAOUHSC_02350,SAOUHSC_02355,SAOUHSC_02354","NCTC8325_operons","atpB,-,glyA"
5,"PI:3,GC:2","TU-U61","S51, ptsG","new_168661_168955_-1, SAOUHSC_00155","NC_007795",168955,166711,"SAOUHSC_00155","NCTC8325_operons","glcA"
5,"PI:3,GC:2","TU-U799","NA, nusB, xseA, xseB, ispA","SAOUHSC_01622, SAOUHSC_01621, SAOUHSC_01620, SAOUHSC_01619, SAOUHSC_01618","NC_007795",1545564,1542079,"SAOUHSC_01618,SAOUHSC_01622,SAOUHSC_01621,SAOUHSC_01620","NCTC8325_operons","ispA,-,nusB,xseA"
5,"PI:3,mortality:2","TU-U942","S743, ribD, ribB, ribA, ribH, NA, NA","new_1801924_1802286_-1, SAOUHSC_01889, SAOUHSC_01888, SAOUHSC_01887, SAOUHSC_01886, SAOUHSC_01883, SAOUHSC_01882","NC_007795",1802286,1796450,"new_1801924_1802286_-1,SAOUHSC_01887,SAOUHSC_01882","NCTC8325_operons","ribA,-"
5,"PI:2,mortality:3","TU-U1009","NA, S800, S799, NA","SAOUHSC_02004, new_1913979_1914152_-1, new_1913863_1913977_-1, SAOUHSC_02003","NC_007795",1914739,1912203,"new_1913863_1913977_-1,SAOUHSC_02003","NCTC8325_operons","-"
